nuts,January Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP8.5 - (2041 - 2070)
DK01,27.764263
DK02,28.455849
DK03,31.4873
DK04,30.476675
ES41,35.948826
ES42,25.824202
HU23,27.79316
HU31,22.120476
HU32,23.168789
HU33,23.322409
IE04,46.260773
EE00,23.76123
EL30,39.94512
EL41,56.27703
EL43,39.85128
EL51,43.457783
EL52,38.71943
FI20,23.26675
FR10,29.876213
FRB0,32.22768
FRC1,39.352135
FRC2,56.658215
FRD1,35.59703
FRD2,32.010277
FRE1,34.538136
FRE2,32.411724
FRF1,43.43102
NL13,33.757885
NL21,34.006237
NL22,32.105576
NL23,34.093266
NL31,32.81208
NL32,35.218517
ITG2,31.12832
ITH1,36.407368
ITH2,41.306553
FRI3,40.18834
FRJ1,47.06728
FRJ2,46.370716
FRK1,41.116364
FRK2,54.160954
FRL0,45.530975
FRM0,40.01334
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,66.89148
TR32,65.95957
TR33,40.7141
HR03,61.016506
HR02,36.194427
HU11,23.811707
HU12,23.175098
HU21,25.432392
HU22,25.024319
PT16,55.783524
PT17,38.628403
FRF2,40.188324
FRF3,43.73833
FRG0,37.73562
FRH0,39.233486
FRI1,47.00875
FRI2,47.827343
ITC4,40.7498
ITF1,48.021015
ITF2,46.644173
ITF3,58.31763
ITF4,37.10692
ITF5,39.35854
ITF6,56.98094
ITG1,44.671356
LT01,24.433582
LT02,25.264309
LU00,42.146248
PL22,24.960773
PL41,23.482506
PL42,27.84185
PT18,35.298126
PT20,0.0
PT30,0.0
RO11,33.771885
RO12,27.37685
RO21,25.23891
RO22,26.867054
RO31,27.495167
RO32,27.738525
ITH3,43.037853
ITH4,54.37018
ITH5,41.04117
ITI1,44.47892
ITI2,39.012234
ITI3,36.6764
ITI4,49.39244
LI00,61.357323
FI1D,20.011333
TR82,36.973797
TR83,35.212635
TR90,51.269802
TRA1,36.549065
TRA2,44.72915
PL43,24.887157
PL51,26.097971
PL52,22.129992
PL61,22.867514
PL62,24.570286
PL63,26.43609
PL71,21.741777
PL72,21.257265
PL81,22.71048
PL82,24.704485
PL84,22.606926
PL91,23.619234
PL92,22.514206
PT11,68.381
PT15,29.815836
TRB1,55.385773
TRB2,66.044945
TRC1,53.217075
RS12,26.400518
RS21,31.578358
RS22,31.316366
SE11,23.208973
SE12,23.844265
NL33,33.257534
NL34,31.334558
NL41,32.046127
NL42,33.421024
PL21,25.047668
UKM6,57.294167
TR22,51.619522
TRC2,49.63265
TRC3,44.711
UKC1,34.03005
UKC2,35.167877
UKD1,49.86013
UKD3,37.482628
UKD4,44.672977
UKD6,31.005224
UKD7,36.003876
UKE1,27.425097
UKE2,34.330418
UKE3,28.031193
RO41,31.59565
RO42,31.356176
RS11,24.893673
TR41,36.83521
TR42,44.449745
TR51,30.13592
TR52,34.58211
TR61,64.573875
TR62,62.550816
TR63,57.296616
TR71,29.96314
TR72,34.336758
TR81,45.07194
UKK1,31.624315
UKK2,35.521595
UKK3,40.724747
UKK4,38.994957
UKL1,47.65048
UKL2,40.8215
UKM5,36.537956
UKM7,49.08521
UKM8,58.700356
UKM9,47.323566
UKN0,39.240635
SE21,26.168056
SE22,29.193935
SE23,32.131943
SE31,26.671917
SE32,28.900038
SE33,27.661821
SI03,39.348072
SI04,51.40395
SK01,22.324932
SK02,24.493896
SK03,28.275974
SK04,23.907934
TR10,43.662567
TR21,42.156277
UKE4,33.01544
UKF1,27.244892
UKF2,26.06717
UKF3,25.796621
UKG1,29.671446
UKG2,29.621239
UKG3,27.40226
UKH1,26.675186
UKH2,25.194748
UKH3,26.496933
UKI3,25.929224
UKI4,25.929224
UKI5,25.08963
UKI6,27.448725
UKI7,25.40908
UKJ1,27.925825
UKJ2,33.873844
UKJ3,33.244785
UKJ4,30.012188
NO09,60.286823
NO0A,88.504974
NO0B,30.578413
HR05,36.679348
HR06,34.15804
NO02,32.475986
NO06,53.661438
NO07,43.024563
NO08,39.307453
