nuts,August Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP4.5 - (2071 - 2100)
DED2,40.184864
DED4,41.099247
DED5,32.743874
DEE0,33.78523
DEF0,36.629066
DEG0,36.50481
DK01,35.232025
DK02,34.994797
DK03,37.718273
DK04,38.68907
ES41,15.810677
ES42,9.478615
HU23,28.68071
HU31,35.468884
HU32,30.82364
HU33,28.225943
IE04,41.242508
EE00,40.357876
EL30,2.7749217
EL41,1.379374
EL43,1.9219639
EL51,15.021008
EL52,22.310623
FI20,35.840084
FR10,26.324709
FRB0,25.10741
FRC1,32.7448
FRC2,41.99307
FRD1,28.06789
FRD2,28.233324
FRE1,31.107384
FRE2,27.733557
FRF1,38.00897
NL13,33.07027
NL21,31.550005
NL22,33.79684
NL23,32.85288
NL31,32.133026
NL32,36.2145
ITG2,6.9220195
ITH1,56.775166
ITH2,56.100277
FRI3,25.331015
FRJ1,31.642565
FRJ2,38.24288
FRK1,36.066578
FRK2,40.109802
FRL0,22.390543
FRM0,11.247792
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,1.8660084
TR32,3.1366942
TR33,5.9728923
HR03,31.2168
HR02,34.113728
HU11,30.236107
HU12,32.27413
HU21,30.831514
HU22,36.27434
PT16,10.089278
PT17,4.2158747
FRF2,31.125294
FRF3,34.722836
FRG0,23.771215
FRH0,24.75522
FRI1,31.862965
FRI2,33.56525
ITC4,55.16679
ITF1,23.992922
ITF2,21.266071
ITF3,14.52968
ITF4,13.804606
ITF5,15.047706
ITF6,13.770669
ITG1,7.1009693
LT01,39.317024
LT02,38.336945
LU00,31.902124
PL22,45.09299
PL41,34.71626
PL42,38.19398
PT18,4.729108
PT20,0.0
PT30,0.0
RO11,40.79277
RO12,47.298725
RO21,38.54032
RO22,27.297096
RO31,37.728073
RO32,38.288986
ITH3,50.625732
ITH4,61.697365
ITH5,35.98288
ITI1,25.47049
ITI2,23.425127
ITI3,27.0795
ITI4,20.288822
LI00,84.735886
FI1D,39.80915
TR82,20.929161
TR83,13.121903
TR90,39.18236
TRA1,13.208077
TRA2,27.352722
PL43,34.90369
PL51,41.631443
PL52,39.624466
PL61,35.074
PL62,35.645138
PL63,40.407047
PL71,35.863766
PL72,38.4423
PL81,39.125477
PL82,41.48198
PL84,37.113297
PL91,36.969337
PL92,36.97981
PT11,15.614456
PT15,2.6212957
TRB1,3.1325018
TRB2,3.741688
TRC1,1.2836635
RS12,28.987946
RS21,31.18648
RS22,29.23926
SE11,37.877087
SE12,39.24821
NL33,34.427746
NL34,32.91857
NL41,32.558056
NL42,33.115562
PL21,47.039936
UKM6,46.568928
TR22,6.139856
TRC2,0.52529716
TRC3,0.6184557
UKC1,33.44689
UKC2,34.80527
UKD1,44.07102
UKD3,39.783833
UKD4,43.400726
UKD6,37.157032
UKD7,38.41843
UKE1,28.90294
UKE2,33.516903
UKE3,30.561201
RO41,39.07305
RO42,39.45623
RS11,28.54637
TR41,10.449347
TR42,20.357225
TR51,9.126053
TR52,3.7629645
TR61,5.3931193
TR62,6.66999
TR63,3.2870603
TR71,3.9488044
TR72,4.23098
TR81,28.176792
UKK1,31.842142
UKK2,31.703033
UKK3,33.95799
UKK4,32.991043
UKL1,41.41707
UKL2,35.968193
UKM5,36.03767
UKM7,41.23727
UKM8,47.924236
UKM9,42.509632
UKN0,38.822433
SE21,36.020283
SE22,36.271328
SE23,40.89306
SE31,43.68176
SE32,45.0038
SE33,43.887615
SI03,44.044792
SI04,53.924694
SK01,36.96525
SK02,39.214035
SK03,43.439026
SK04,40.501087
TR10,14.02236
TR21,10.045735
UKE4,31.63434
UKF1,32.386364
UKF2,30.404013
UKF3,29.020613
UKG1,30.780077
UKG2,32.097298
UKG3,31.305622
UKH1,30.376614
UKH2,30.810371
UKH3,29.38998
UKI3,30.16448
UKI4,30.16448
UKI5,29.969553
UKI6,31.657644
UKI7,29.942318
UKJ1,30.890154
UKJ2,30.274609
UKJ3,30.558565
UKJ4,30.974236
NO09,54.0042
NO0A,66.73992
NO0B,25.555859
HR05,37.482048
HR06,36.43218
NO02,47.50903
NO06,52.492466
NO07,47.400368
NO08,46.654354
