nuts,September Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP4.5 - (2011 - 2040)
UKH1,28.877266
UKH2,25.72159
UKH3,25.238808
UKI3,22.793032
UKI4,22.793032
UKI5,23.80305
UKI6,24.536346
UKI7,23.718346
UKJ1,26.75148
UKJ2,29.119974
UKJ3,29.216274
UKJ4,27.187895
NO09,61.606457
NO0A,80.185776
NO0B,29.929415
HR05,48.160053
HR06,47.158234
NO02,42.255615
NO06,56.191093
NO07,46.126396
NO08,45.69672
