nuts,Summer Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP8.5 - (2041 - 2070)
UKD6,42.06856
UKD7,45.69961
UKE1,41.97663
UKE2,43.68709
UKE3,44.08382
RO41,63.186996
RO42,61.692318
RS11,52.69126
TR41,27.88358
TR42,41.926437
TR51,21.021193
TR52,18.21859
TR61,19.044374
TR62,23.611757
TR63,14.932591
TR71,19.554434
TR72,24.226297
TR81,52.55682
UKK1,41.156067
UKK2,43.20503
UKK3,44.503754
UKK4,45.996452
UKL1,48.45176
UKL2,45.677288
UKM5,45.71976
UKM7,49.58836
UKM8,53.108562
UKM9,48.53781
UKN0,45.507656
SE21,50.83697
SE22,51.311188
SE23,56.1102
SE31,53.59493
SE32,56.037163
SE33,56.89027
SI03,78.710236
SI04,85.655556
SK01,56.96816
SK02,60.42763
SK03,62.626167
SK04,65.04106
TR10,36.878555
TR21,29.180788
UKE4,44.187534
UKF1,42.110336
UKF2,38.098385
UKF3,40.09428
UKG1,40.559246
UKG2,41.458534
UKG3,40.125282
UKH1,38.59372
UKH2,39.01638
UKH3,41.075157
UKI3,39.577732
UKI4,39.577732
UKI5,40.7484
UKI6,41.512035
UKI7,38.7789
UKJ1,39.196262
UKJ2,40.20848
UKJ3,40.10265
UKJ4,42.919685
NO09,69.66538
NO0A,82.69035
NO0B,31.68099
HR05,69.80392
HR06,68.7415
NO02,63.68394
NO06,67.92665
NO07,58.574585
NO08,64.38558
