nuts,March Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP4.5 - (2041 - 2070)
NL32,27.17001
ITG2,31.952147
ITH1,39.28962
ITH2,43.552265
FRI3,29.196865
FRJ1,40.08399
FRJ2,37.01341
FRK1,32.970222
FRK2,42.771637
FRL0,36.527203
FRM0,36.086758
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,45.566284
TR32,43.723354
TR33,32.684303
HR03,57.966053
HR02,36.56906
HU11,23.39274
HU12,23.310009
HU21,24.044409
HU22,26.340393
PT16,38.640705
PT17,30.732033
FRF2,34.208763
FRF3,37.619167
FRG0,28.367628
FRH0,30.7188
FRI1,36.611816
FRI2,37.826828
ITC4,44.639397
ITF1,43.826736
ITF2,42.411407
ITF3,52.70981
ITF4,36.01458
ITF5,40.48946
ITF6,51.851463
ITG1,32.070126
LT01,21.219553
LT02,21.460228
LU00,33.793552
PL22,28.006907
PL41,24.052555
PL42,23.915361
PT18,30.084776
PT20,0.0
PT30,0.0
RO11,32.91368
RO12,30.776592
RO21,28.213673
RO22,26.109615
RO31,28.287933
RO32,27.508184
ITH3,42.425762
ITH4,59.7929
ITH5,44.260612
ITI1,40.869728
ITI2,42.41701
ITI3,40.544655
ITI4,48.48609
LI00,58.84654
FI1D,17.573029
TR82,36.58953
TR83,35.740185
TR90,46.869434
TRA1,37.69966
TRA2,38.08882
PL43,23.873405
PL51,27.263435
PL52,24.82441
PL61,22.376127
PL62,23.705292
PL63,23.007944
PL71,25.356419
PL72,24.831532
PL81,22.84187
PL82,26.763912
PL84,21.123953
PL91,22.836706
PL92,22.172598
PT11,44.970318
PT15,30.27719
TRB1,48.992912
TRB2,60.51258
TRC1,41.608963
RS12,28.291626
RS21,36.721756
RS22,32.198727
SE11,17.426508
SE12,18.61513
NL33,29.853601
NL34,27.68481
NL41,30.452263
NL42,30.985285
PL21,28.43573
UKM6,45.298855
TR22,40.979057
TRC2,41.10831
TRC3,37.925915
UKC1,28.21466
UKC2,28.275358
UKD1,38.09241
UKD3,33.8662
UKD4,37.070114
UKD6,28.836657
UKD7,30.963882
UKE1,23.604572
UKE2,28.791359
UKE3,25.5588
RO41,32.33607
RO42,33.87541
RS11,32.06898
TR41,33.48616
TR42,38.906685
TR51,27.15646
TR52,29.122553
TR61,42.268623
TR62,50.080696
TR63,47.355625
TR71,28.481873
TR72,33.47797
TR81,40.652977
UKK1,27.133951
UKK2,29.417683
UKK3,32.29848
UKK4,31.867382
UKL1,38.9681
UKL2,33.913113
UKM5,31.29613
UKM7,38.320683
UKM8,43.432194
UKM9,36.59914
UKN0,32.10992
SE21,19.427423
SE22,21.587898
SE23,23.445227
SE31,22.086044
SE32,24.12403
SE33,23.272272
SI03,42.443707
SI04,55.55878
SK01,23.136671
SK02,26.194864
SK03,30.472567
SK04,26.559586
TR10,36.28842
TR21,35.487907
UKE4,28.87521
UKF1,24.922266
UKF2,22.526413
UKF3,22.179247
UKG1,25.318596
UKG2,27.701267
UKG3,24.871656
UKH1,22.721878
UKH2,22.259869
UKH3,21.703405
UKI3,22.064648
UKI4,22.064648
UKI5,21.416264
UKI6,22.367409
UKI7,22.531279
UKJ1,23.94677
UKJ2,25.06747
UKJ3,26.480272
UKJ4,23.071222
NO09,47.715652
NO0A,67.00333
NO0B,29.008968
HR05,35.673447
HR06,34.20026
NO02,26.832285
NO06,46.917305
NO07,39.124096
NO08,31.696033
