nuts,December Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP4.5 - (2071 - 2100)
HU11,26.31825
HU12,26.958467
HU21,27.163074
HU22,26.42848
PT16,59.354343
PT17,42.708115
FRF2,43.80392
FRF3,50.32325
FRG0,37.40856
FRH0,42.525314
FRI1,46.338486
FRI2,48.142094
ITC4,47.562775
ITF1,51.022224
ITF2,48.624226
ITF3,67.0651
ITF4,38.92805
ITF5,41.354916
ITF6,59.820145
ITG1,41.339516
LT01,25.896172
LT02,25.697044
LU00,42.613834
PL22,30.07657
PL41,24.599697
PL42,28.617083
PT18,38.78032
PT20,0.0
PT30,0.0
RO11,35.02687
RO12,28.439547
RO21,24.603857
RO22,27.018717
RO31,28.683289
RO32,27.100708
ITH3,44.276447
ITH4,63.656025
ITH5,43.583447
ITI1,49.103695
ITI2,47.65711
ITI3,40.297874
ITI4,58.630745
LI00,64.385796
FI1D,21.671745
TR82,46.285667
TR83,40.863785
TR90,53.917343
TRA1,40.203373
TRA2,45.68316
PL43,26.272242
PL51,27.211447
PL52,26.04577
PL61,24.20111
PL62,25.830036
PL63,27.58003
PL71,25.594627
PL72,23.424944
PL81,23.809095
PL82,28.113655
PL84,23.083141
PL91,24.715532
PL92,23.906776
PT11,75.14379
PT15,43.500877
TRB1,56.725086
TRB2,66.43367
TRC1,53.55143
RS12,28.62355
RS21,34.575768
RS22,32.65509
SE11,25.477066
SE12,25.60379
NL33,35.239227
NL34,33.986076
NL41,34.511707
NL42,37.016743
PL21,28.11661
UKM6,60.258083
TR22,53.835457
TRC2,47.971756
TRC3,46.018444
UKC1,35.431202
UKC2,36.04347
UKD1,55.73405
UKD3,42.047756
UKD4,51.704536
UKD6,35.282276
UKD7,42.226826
UKE1,28.750532
UKE2,36.979836
UKE3,30.121315
RO41,32.434055
RO42,33.85795
RS11,28.63928
TR41,38.379513
TR42,49.211872
TR51,28.668945
TR52,32.498962
TR61,60.395943
TR62,62.060024
TR63,51.584824
TR71,31.663143
TR72,33.83178
TR81,51.80535
UKK1,33.37175
UKK2,39.346184
UKK3,43.84086
UKK4,42.46639
UKL1,51.188236
UKL2,42.288784
UKM5,37.834282
UKM7,47.149185
UKM8,58.694607
UKM9,49.82783
UKN0,42.614014
SE21,27.425344
SE22,27.852753
SE23,33.404175
SE31,28.787376
SE32,30.298252
SE33,29.19651
SI03,41.966923
SI04,59.0903
SK01,23.32591
SK02,26.637465
SK03,30.120073
SK04,26.306263
TR10,50.164345
TR21,42.548916
UKE4,36.22566
UKF1,30.499084
UKF2,26.614746
UKF3,25.735779
UKG1,29.69437
UKG2,32.02195
UKG3,29.466839
UKH1,27.212713
UKH2,25.967804
UKH3,27.481419
UKI3,28.620022
UKI4,28.620022
UKI5,27.779959
UKI6,29.609114
UKI7,28.182104
UKJ1,28.513197
UKJ2,37.507843
UKJ3,36.52833
UKJ4,33.749607
NO09,57.360138
NO0A,97.03262
NO0B,36.27459
HR05,36.898193
HR06,36.340622
NO02,34.48903
NO06,54.51981
NO07,46.33485
NO08,38.239307
