nuts,December Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP8.5 - (2071 - 2100)
UKE2,38.752472
UKE3,32.65827
RO41,34.990204
RO42,35.62959
RS11,31.531754
TR41,41.171474
TR42,52.104828
TR51,29.716068
TR52,31.967058
TR61,51.79282
TR62,57.604904
TR63,50.968353
TR71,31.518885
TR72,34.63345
TR81,56.250336
UKK1,37.097317
UKK2,41.53297
UKK3,46.153805
UKK4,44.42356
UKL1,57.915253
UKL2,46.830967
UKM5,38.361946
UKM7,50.052307
UKM8,66.10801
UKM9,53.202694
UKN0,42.785233
SE21,30.22193
SE22,32.084225
SE23,38.315155
SE31,30.49582
SE32,31.889345
SE33,32.03118
SI03,48.537334
SI04,66.65101
SK01,26.685686
SK02,30.365032
SK03,32.214592
SK04,28.51163
TR10,48.901436
TR21,42.37797
UKE4,39.278866
UKF1,32.1753
UKF2,29.06106
UKF3,28.449114
UKG1,33.01132
UKG2,35.265583
UKG3,32.60107
UKH1,30.942003
UKH2,30.500261
UKH3,32.676605
UKI3,32.61272
UKI4,32.61272
UKI5,32.17324
UKI6,32.889744
UKI7,32.656334
UKJ1,32.84138
UKJ2,41.60004
UKJ3,41.345547
UKJ4,36.729153
NO09,66.297386
NO0A,102.523674
NO0B,38.911102
HR05,41.17341
HR06,39.479744
NO02,37.64689
NO06,61.274864
NO07,50.114624
NO08,42.391678
