nuts,April Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP8.5 - (2041 - 2070)
UKM5,29.625254
UKM7,31.398512
UKM8,36.85721
UKM9,32.942142
UKN0,31.048653
SE21,23.73797
SE22,23.688284
SE23,28.406446
SE31,27.325104
SE32,26.822477
SE33,23.803583
SI03,44.448544
SI04,56.991493
SK01,27.25941
SK02,30.020187
SK03,36.155045
SK04,33.607143
TR10,25.650139
TR21,27.491194
UKE4,30.599144
UKF1,28.274956
UKF2,26.913738
UKF3,26.230669
UKG1,27.160696
UKG2,26.959637
UKG3,26.302195
UKH1,25.217073
UKH2,25.949497
UKH3,24.541182
UKI3,26.42302
UKI4,26.42302
UKI5,26.298168
UKI6,26.73091
UKI7,26.095354
UKJ1,27.750275
UKJ2,27.889437
UKJ3,28.650007
UKJ4,26.261911
NO09,44.337593
NO0A,53.846123
NO0B,27.705608
HR05,36.72994
HR06,35.627644
NO02,30.030733
NO06,40.036797
NO07,36.72367
NO08,34.28881
