nuts,Spring Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP4.5 - (2071 - 2100)
FRY5,0.0
TR31,53.870995
TR32,50.534565
TR33,42.09626
HR03,74.54266
HR02,55.833744
HU11,38.33991
HU12,40.73264
HU21,41.198517
HU22,42.73572
PT16,54.87847
PT17,42.539055
FRF2,47.353043
FRF3,52.10924
FRG0,41.803635
FRH0,43.170918
FRI1,54.56274
FRI2,58.864902
ITC4,76.34136
ITF1,58.63405
ITF2,52.72992
ITF3,62.460583
ITF4,40.813988
ITF5,47.53524
ITF6,59.756855
ITG1,38.117172
LT01,39.112858
LT02,36.71268
LU00,43.736458
PL22,45.9992
PL41,34.352295
PL42,35.07214
PT18,41.432697
PT20,0.0
PT30,0.0
RO11,52.039337
RO12,54.500004
RO21,47.945995
RO22,43.544247
RO31,48.54783
RO32,47.423874
ITH3,71.763756
ITH4,94.87677
ITH5,61.785187
ITI1,56.32371
ITI2,57.10543
ITI3,54.36396
ITI4,60.54593
LI00,84.00562
FI1D,30.703474
TR82,52.347836
TR83,50.439728
TR90,66.22756
TRA1,57.01909
TRA2,56.939507
PL43,37.23581
PL51,40.72538
PL52,40.81426
PL61,32.9735
PL62,35.962967
PL63,34.928802
PL71,37.28587
PL72,40.076416
PL81,42.882427
PL82,48.781494
PL84,38.04259
PL91,36.929623
PL92,37.602524
PT11,71.258965
PT15,40.466736
TRB1,64.52268
TRB2,78.16991
TRC1,51.352406
RS12,45.036694
RS21,56.633602
RS22,48.80355
SE11,26.966715
SE12,31.933544
NL33,40.04369
NL34,37.266335
NL41,39.08649
NL42,39.22114
PL21,52.357513
UKM6,52.265717
TR22,51.529682
TRC2,51.514584
TRC3,47.595417
UKC1,38.45196
UKC2,37.444305
UKD1,46.683308
UKD3,41.835358
UKD4,45.5163
UKD6,37.378075
UKD7,40.35484
UKE1,33.240246
UKE2,38.65342
UKE3,36.49952
RO41,53.629673
RO42,53.0494
RS11,51.804405
TR41,42.63081
TR42,52.13809
TR51,36.31876
TR52,35.745056
TR61,50.420467
TR62,57.448467
TR63,60.25833
TR71,38.06452
TR72,46.01517
TR81,58.790802
UKK1,39.20992
UKK2,40.500298
UKK3,40.735577
UKK4,43.01726
UKL1,46.52783
UKL2,44.298416
UKM5,40.733215
UKM7,47.375946
UKM8,52.091652
UKM9,46.710415
UKN0,40.96654
SE21,32.07419
SE22,32.51626
SE23,37.631042
SE31,37.347763
SE32,38.175087
SE33,36.30138
SI03,63.801
SI04,79.9624
SK01,39.523827
SK02,43.06697
SK03,49.902817
SK04,48.98535
TR10,42.723167
TR21,45.54705
UKE4,39.213726
UKF1,36.996365
UKF2,35.267147
UKF3,33.561302
UKG1,38.76973
UKG2,38.54845
UKG3,37.593067
UKH1,33.223316
UKH2,33.447002
UKH3,31.879753
UKI3,32.649868
UKI4,32.649868
UKI5,32.592537
UKI6,32.71704
UKI7,33.51246
UKJ1,36.00495
UKJ2,35.168613
UKJ3,37.2919
UKJ4,33.709217
NO09,60.6836
NO0A,80.87157
NO0B,35.081165
HR05,53.89904
HR06,51.771713
NO02,46.06704
NO06,59.322826
NO07,50.007835
NO08,48.54039
