nuts,January Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP4.5 - (2041 - 2070)
DEC0,41.40415
DED2,26.536913
DED4,30.286964
DED5,24.905567
DEE0,24.015512
DEF0,31.515694
DEG0,28.771145
DK01,26.921253
DK02,26.345722
DK03,31.112541
DK04,30.073092
ES41,37.62331
ES42,26.823956
HU23,26.936646
HU31,23.68739
HU32,23.172638
HU33,22.724352
IE04,47.606384
EE00,23.141903
EL30,40.095142
EL41,51.800964
EL43,42.748714
EL51,42.04363
EL52,36.23379
FI20,22.775997
FR10,29.061588
FRB0,30.15906
FRC1,38.261673
FRC2,54.8982
FRD1,37.31135
FRD2,31.839823
FRE1,34.699673
FRE2,32.00506
FRF1,43.177788
NL13,29.537085
NL21,30.492804
NL22,29.637106
NL23,30.251955
NL31,29.21668
NL32,31.59095
ITG2,32.22122
ITH1,32.764847
ITH2,40.686127
FRI3,38.085068
FRJ1,47.76291
FRJ2,45.0822
FRK1,41.75828
FRK2,54.501884
FRL0,43.892162
FRM0,40.870995
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,61.123314
TR32,64.886375
TR33,38.08334
HR03,59.071865
HR02,34.699516
HU11,25.057817
HU12,24.332964
HU21,27.428585
HU22,25.242151
PT16,53.726406
PT17,42.621574
FRF2,38.473465
FRF3,44.479946
FRG0,35.731277
FRH0,40.990475
FRI1,46.89166
FRI2,47.086266
ITC4,42.401558
ITF1,44.334396
ITF2,43.744576
ITF3,56.415
ITF4,33.729435
ITF5,39.190304
ITF6,58.01399
ITG1,45.07899
LT01,23.069366
LT02,23.710524
LU00,42.019855
PL22,24.10133
PL41,22.021414
PL42,25.64731
PT18,36.456814
PT20,0.0
PT30,0.0
RO11,31.562931
RO12,26.282246
RO21,21.143192
RO22,25.091297
RO31,26.23273
RO32,26.000105
ITH3,40.580063
ITH4,53.082275
ITH5,38.667595
ITI1,42.440346
ITI2,39.660706
ITI3,35.161232
ITI4,51.081413
LI00,59.852367
FI1D,19.680435
TR82,35.623173
TR83,35.09162
TR90,50.656986
TRA1,36.525555
TRA2,45.079067
PL43,23.572819
PL51,26.000305
PL52,21.961325
PL61,20.867966
PL62,23.641695
PL63,24.468155
PL71,21.622177
PL72,20.334011
PL81,22.288422
PL82,25.834
PL84,21.500427
PL91,22.194366
PL92,21.634941
PT11,66.40069
PT15,34.463253
TRB1,55.954964
TRB2,63.066486
TRC1,56.07007
RS12,26.304098
RS21,32.53793
RS22,29.18095
SE11,22.197203
SE12,22.37158
NL33,29.833017
NL34,28.847235
NL41,30.32733
NL42,31.90999
PL21,25.01576
UKM6,55.33901
TR22,46.974747
TRC2,47.4232
TRC3,39.625652
UKC1,33.859226
UKC2,34.746075
UKD1,49.58226
UKD3,38.91329
UKD4,46.771297
UKD6,31.583258
UKD7,36.09159
UKE1,27.815603
UKE2,35.513847
UKE3,28.083094
RO41,29.56699
RO42,30.934174
RS11,27.813768
TR41,34.538483
TR42,43.629044
TR51,29.968203
TR52,35.377663
TR61,66.68351
TR62,62.62281
TR63,60.5101
TR71,30.19887
TR72,34.41742
TR81,43.603935
UKK1,31.474752
UKK2,35.8946
UKK3,41.14602
UKK4,39.936005
UKL1,48.51474
UKL2,41.35396
UKM5,36.719322
UKM7,47.068718
UKM8,56.04609
UKM9,45.592957
UKN0,40.2438
SE21,24.27212
SE22,27.108765
SE23,31.140984
SE31,25.214243
SE32,27.440987
SE33,26.950485
SI03,37.99472
SI04,47.967426
SK01,20.654648
SK02,25.791996
SK03,29.37077
SK04,24.9891
TR10,41.043095
TR21,38.929855
UKE4,34.548756
UKF1,28.168352
UKF2,25.007921
UKF3,25.171917
UKG1,28.810112
UKG2,30.694733
UKG3,28.230118
UKH1,25.81136
UKH2,25.360386
UKH3,26.805048
UKI3,26.449184
UKI4,26.449184
UKI5,26.187546
UKI6,27.4263
UKI7,26.807453
UKJ1,27.46311
UKJ2,34.703297
UKJ3,33.781307
UKJ4,30.758398
NO09,59.945248
NO0A,88.10291
NO0B,32.84519
HR05,35.19177
HR06,33.345272
NO02,31.691597
NO06,54.57265
NO07,43.150135
NO08,38.356495
