nuts,Winter Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP8.5 - (2041 - 2070)
DEB3,47.199574
DEC0,57.347355
DED2,37.471542
DED4,42.260967
DED5,35.344833
DEE0,33.86027
DEF0,39.975315
DEG0,39.45886
DK01,34.676895
DK02,34.471565
DK03,39.576717
DK04,38.42289
ES41,52.14438
ES42,41.24938
HU23,40.577858
HU31,31.587027
HU32,34.54114
HU33,34.170715
IE04,57.534122
EE00,29.937035
EL30,59.708965
EL41,78.955605
EL43,59.16036
EL51,65.27823
EL52,62.858345
FI20,29.4356
FR10,41.605747
FRB0,44.63115
FRC1,53.457653
FRC2,79.58979
FRD1,48.10412
FRD2,43.97057
FRE1,44.06246
FRE2,43.920673
FRF1,60.288094
NL13,40.30818
NL21,42.760857
NL22,41.05726
NL23,42.94914
NL31,41.946457
NL32,44.141537
ITG2,51.28014
ITH1,56.155376
ITH2,67.29753
FRI3,53.834995
FRJ1,68.09275
FRJ2,63.838646
FRK1,55.721676
FRK2,78.0689
FRL0,66.13039
FRM0,63.630627
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,83.50221
TR32,87.728294
TR33,52.265137
HR03,91.158775
HR02,53.791935
HU11,32.917103
HU12,32.60718
HU21,36.140953
HU22,37.23268
PT16,82.62253
PT17,61.411644
FRF2,54.18999
FRF3,62.57182
FRG0,48.90363
FRH0,53.100258
FRI1,64.63207
FRI2,63.16546
ITC4,64.253265
ITF1,70.511856
ITF2,65.52741
ITF3,85.01808
ITF4,53.599236
ITF5,59.03544
ITF6,79.86748
ITG1,62.359383
LT01,30.475868
LT02,31.819304
LU00,54.87543
PL22,34.023342
PL41,31.221796
PL42,35.14525
PT18,57.783394
PT20,0.0
PT30,0.0
RO11,44.088432
RO12,37.658176
RO21,37.135292
RO22,39.106945
RO31,42.89459
RO32,40.38208
ITH3,68.132324
ITH4,90.17743
ITH5,65.56768
ITI1,68.6081
ITI2,61.45424
ITI3,56.885845
ITI4,77.218025
LI00,81.59198
FI1D,25.883425
TR82,54.6589
TR83,50.27506
TR90,70.777214
TRA1,55.75461
TRA2,58.65941
PL43,32.45941
PL51,34.86303
PL52,30.78744
PL61,29.825895
PL62,31.236338
PL63,35.04125
PL71,30.348812
PL72,29.425621
PL81,28.436344
PL82,33.029987
PL84,28.668116
PL91,29.922245
PL92,28.94764
PT11,98.83569
PT15,58.957466
TRB1,79.112114
TRB2,94.2359
TRC1,75.90061
RS12,37.36461
RS21,45.821342
RS22,43.372425
SE11,29.184523
SE12,30.37617
NL33,42.348885
NL34,39.83007
NL41,41.784893
NL42,46.27427
PL21,34.07374
UKM6,70.95532
TR22,72.01179
TRC2,71.92294
TRC3,67.096405
UKC1,44.136814
UKC2,43.23769
UKD1,62.288
UKD3,48.749825
UKD4,57.172504
UKD6,39.811646
UKD7,45.80955
UKE1,35.541336
UKE2,43.84123
UKE3,37.48876
RO41,44.716747
RO42,42.75083
RS11,38.68388
TR41,49.87571
TR42,63.216793
TR51,40.517136
TR52,47.311455
TR61,86.328636
TR62,88.34211
TR63,84.37142
TR71,43.23378
TR72,47.61232
TR81,66.05343
UKK1,40.77402
UKK2,45.896755
UKK3,49.724236
UKK4,50.34651
UKL1,59.055737
UKL2,51.94278
UKM5,46.62813
UKM7,59.17711
UKM8,69.85693
UKM9,58.159378
UKN0,49.001167
SE21,32.79336
SE22,35.07003
SE23,40.08458
SE31,33.320408
SE32,36.86953
SE33,37.843628
SI03,59.4065
SI04,77.40435
SK01,32.433323
SK02,34.326614
SK03,38.85124
SK04,34.783005
TR10,61.964867
TR21,60.36146
UKE4,43.083523
UKF1,36.567574
UKF2,32.31098
UKF3,32.80042
UKG1,37.382236
UKG2,40.10341
UKG3,35.71658
UKH1,33.371346
UKH2,33.23686
UKH3,34.781326
UKI3,33.627396
UKI4,33.627396
UKI5,33.099483
UKI6,34.969692
UKI7,34.427864
UKJ1,36.280224
UKJ2,44.06624
UKJ3,44.171673
UKJ4,40.46576
NO09,75.88351
NO0A,113.92745
NO0B,43.141422
HR05,52.33561
HR06,50.756004
NO02,42.495007
NO06,71.248665
NO07,60.861134
NO08,50.90279
