nuts,February Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP8.5 - (2041 - 2070)
FRJ1,40.516003
FRJ2,44.472588
FRK1,37.58476
FRK2,51.432076
FRL0,39.873653
FRM0,35.508102
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,56.380146
TR32,54.836422
TR33,34.77395
HR03,61.329742
HR02,34.817543
HU11,21.53334
HU12,22.460243
HU21,24.415155
HU22,25.526978
PT16,48.19497
PT17,35.584824
FRF2,36.4535
FRF3,39.512455
FRG0,31.231234
FRH0,34.07115
FRI1,45.248367
FRI2,42.834282
ITC4,41.515083
ITF1,42.338203
ITF2,40.2648
ITF3,56.43492
ITF4,36.53076
ITF5,39.066025
ITF6,50.21686
ITG1,36.361855
LT01,20.751244
LT02,21.655401
LU00,36.383404
PL22,24.854837
PL41,20.068542
PL42,22.150024
PT18,31.696962
PT20,0.0
PT30,0.0
RO11,28.748547
RO12,25.286968
RO21,24.774918
RO22,26.444487
RO31,28.93877
RO32,26.154623
ITH3,40.192482
ITH4,52.56343
ITH5,42.403996
ITI1,43.283367
ITI2,43.921616
ITI3,38.445393
ITI4,52.02856
LI00,63.083843
FI1D,17.591717
TR82,36.683056
TR83,33.084488
TR90,44.24188
TRA1,38.219128
TRA2,34.893383
PL43,21.103394
PL51,23.917053
PL52,21.485209
PL61,20.095045
PL62,22.077637
PL63,22.258135
PL71,21.616276
PL72,21.150494
PL81,20.995752
PL82,25.031044
PL84,20.993456
PL91,21.590899
PL92,21.420547
PT11,56.445446
PT15,31.047884
TRB1,55.57599
TRB2,67.52743
TRC1,51.57735
RS12,25.752707
RS21,32.232037
RS22,31.161856
SE11,19.382967
SE12,19.510818
NL33,27.108881
NL34,25.450249
NL41,29.095879
NL42,30.984152
PL21,25.435907
UKM6,49.03427
TR22,49.892868
TRC2,46.93986
TRC3,45.232895
UKC1,28.411535
UKC2,28.577545
UKD1,41.78516
UKD3,34.3447
UKD4,39.180164
UKD6,27.643778
UKD7,30.88444
UKE1,22.272377
UKE2,29.52955
UKE3,24.070742
RO41,31.658266
RO42,30.17233
RS11,28.060368
TR41,34.373947
TR42,42.422195
TR51,26.78634
TR52,29.445635
TR61,54.499176
TR62,54.84729
TR63,55.479153
TR71,26.775595
TR72,31.477
TR81,43.095963
UKK1,24.717028
UKK2,29.899954
UKK3,36.216194
UKK4,33.140385
UKL1,39.82397
UKL2,34.912655
UKM5,31.52259
UKM7,42.597355
UKM8,49.32717
UKM9,41.387646
UKN0,34.194298
SE21,21.826263
SE22,23.681673
SE23,24.781298
SE31,21.374956
SE32,23.248013
SE33,24.015486
SI03,40.39085
SI04,51.036034
SK01,24.165388
SK02,25.819153
SK03,28.766823
SK04,25.884903
TR10,43.6736
TR21,42.97732
UKE4,30.684765
UKF1,22.79999
UKF2,20.361618
UKF3,20.025557
UKG1,22.734083
UKG2,25.497395
UKG3,22.012777
UKH1,21.645723
UKH2,21.59
UKH3,22.98139
UKI3,22.94515
UKI4,22.94515
UKI5,22.51423
UKI6,23.431889
UKI7,23.272738
UKJ1,22.566143
UKJ2,27.344187
UKJ3,28.014894
UKJ4,26.199661
NO09,50.007866
NO0A,73.84538
NO0B,28.492266
HR05,36.62128
HR06,35.166977
NO02,25.673693
NO06,43.374866
NO07,39.475643
NO08,31.238628
