nuts,August Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP8.5 - (2071 - 2100)
PL21,48.763023
UKM6,46.725014
TR22,3.8407834
TRC2,1.5757431
TRC3,1.1791131
UKC1,32.94968
UKC2,32.903862
UKD1,40.79803
UKD3,34.602467
UKD4,39.34401
UKD6,31.589956
UKD7,37.225723
UKE1,30.995205
UKE2,33.896706
UKE3,32.422684
RO41,36.15195
RO42,39.20601
RS11,26.570507
TR41,7.453378
TR42,15.968614
TR51,5.5869694
TR52,3.4875162
TR61,5.5477624
TR62,7.3598638
TR63,2.9870489
TR71,2.5663528
TR72,4.141422
TR81,24.13795
UKK1,29.122465
UKK2,29.205608
UKK3,28.612888
UKK4,28.684208
UKL1,33.936646
UKL2,31.522894
UKM5,34.730896
UKM7,38.192486
UKM8,44.369915
UKM9,39.23072
UKN0,37.15393
SE21,38.090496
SE22,38.96706
SE23,44.6066
SE31,46.568607
SE32,47.967167
SE33,47.59957
SI03,47.09111
SI04,54.284786
SK01,39.92308
SK02,38.009655
SK03,40.4993
SK04,38.564167
TR10,10.302947
TR21,7.546923
UKE4,35.176937
UKF1,31.902903
UKF2,29.501759
UKF3,30.233145
UKG1,29.320683
UKG2,30.822798
UKG3,28.750175
UKH1,29.619724
UKH2,27.956247
UKH3,26.626556
UKI3,27.838234
UKI4,27.838234
UKI5,27.19872
UKI6,29.152975
UKI7,28.771309
UKJ1,29.154158
UKJ2,28.850151
UKJ3,29.336422
UKJ4,28.708654
NO09,52.240902
NO0A,71.84541
NO0B,26.97324
HR05,37.982502
HR06,37.428276
NO02,51.56332
NO06,57.708954
NO07,50.30213
NO08,49.019974
