nuts,August Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP4.5 - (2041 - 2070)
RO12,46.43178
RO21,38.678715
RO22,28.916395
RO31,34.64743
RO32,32.780716
ITH3,50.298973
ITH4,61.515022
ITH5,35.081932
ITI1,26.096313
ITI2,22.975296
ITI3,27.631096
ITI4,19.516476
LI00,89.73435
FI1D,39.68487
TR82,16.340977
TR83,12.162893
TR90,38.50702
TRA1,12.113277
TRA2,23.992048
PL43,35.368347
PL51,40.406635
PL52,38.437504
PL61,34.613815
PL62,33.601162
PL63,39.857555
PL71,34.438545
PL72,38.439735
PL81,35.652924
PL82,38.84797
PL84,34.737995
PL91,33.4122
PL92,33.449867
PT11,14.155922
PT15,2.3187504
TRB1,2.8666532
TRB2,4.5380335
TRC1,1.2623733
RS12,26.220976
RS21,30.995377
RS22,27.526667
SE11,34.253605
SE12,38.226833
NL33,39.132545
NL34,36.129276
NL41,34.87515
NL42,31.620508
PL21,44.561802
UKM6,46.256577
TR22,6.8156667
TRC2,0.673083
TRC3,0.7392269
UKC1,34.25219
UKC2,36.595547
UKD1,42.698444
UKD3,39.31225
UKD4,42.296616
UKD6,34.536983
UKD7,38.031254
UKE1,31.393473
UKE2,36.98203
UKE3,34.277325
RO41,36.197433
RO42,36.20254
RS11,27.807106
TR41,10.552439
TR42,20.792576
TR51,7.010351
TR52,4.3305287
TR61,5.8777657
TR62,7.0733747
TR63,3.665644
TR71,4.328233
TR72,5.4606485
TR81,25.675283
UKK1,31.262716
UKK2,32.65967
UKK3,33.89285
UKK4,32.31575
UKL1,38.154957
UKL2,35.1588
UKM5,36.18979
UKM7,41.67128
UKM8,48.04957
UKM9,43.227474
UKN0,40.063465
SE21,35.379482
SE22,37.361897
SE23,42.384766
SE31,42.357315
SE32,43.804047
SE33,43.169987
SI03,47.420727
SI04,58.296192
SK01,35.40592
SK02,38.39781
SK03,39.979034
SK04,38.876373
TR10,14.412498
TR21,10.770152
UKE4,38.570232
UKF1,33.0346
UKF2,29.354418
UKF3,29.85303
UKG1,29.18656
UKG2,31.828568
UKG3,29.475788
UKH1,29.01169
UKH2,29.120153
UKH3,29.032969
UKI3,30.96537
UKI4,30.96537
UKI5,31.046352
UKI6,33.100117
UKI7,30.748661
UKJ1,28.589546
UKJ2,29.903955
UKJ3,30.853714
UKJ4,30.3297
NO09,55.8754
NO0A,69.820496
NO0B,24.188921
HR05,38.636215
HR06,38.480583
NO02,48.108063
NO06,52.22717
NO07,46.09783
NO08,48.666813
