nuts,May Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP4.5 - (2011 - 2040)
ITI4,37.51739
LI00,73.63966
FI1D,25.294329
TR82,39.37787
TR83,38.44863
TR90,54.25868
TRA1,45.03472
TRA2,42.94924
PL43,28.228056
PL51,31.486563
PL52,32.380726
PL61,26.09573
PL62,29.258091
PL63,27.51531
PL71,30.483355
PL72,33.346558
PL81,34.166054
PL82,40.41987
PL84,31.76336
PL91,32.55691
PL92,32.54149
PT11,48.98591
PT15,20.594053
TRB1,41.552128
TRB2,47.20028
TRC1,27.57463
RS12,34.210922
RS21,43.036
RS22,38.529167
SE11,20.127964
SE12,25.093058
NL33,29.271833
NL34,28.034561
NL41,29.72512
NL42,29.140087
PL21,43.31635
UKM6,34.79081
TR22,24.761135
TRC2,29.353928
TRC3,24.32739
UKC1,27.057995
UKC2,27.430775
UKD1,34.53111
UKD3,31.587694
UKD4,33.024376
UKD6,29.853397
UKD7,29.960178
UKE1,26.157156
UKE2,28.354055
UKE3,28.75885
RO41,42.465122
RO42,41.013664
RS11,40.76632
TR41,27.89306
TR42,34.212936
TR51,25.279554
TR52,25.227371
TR61,27.654604
TR62,35.23744
TR63,33.947517
TR71,26.9399
TR72,36.9177
TR81,40.197994
UKK1,29.930998
UKK2,28.966036
UKK3,31.497084
UKK4,31.134964
UKL1,33.99451
UKL2,33.077095
UKM5,28.899742
UKM7,33.79671
UKM8,38.465397
UKM9,33.589535
UKN0,32.140583
SE21,24.217768
SE22,25.86575
SE23,30.430382
SE31,29.4104
SE32,29.186522
SE33,27.09599
SI03,50.842926
SI04,57.610985
SK01,36.09554
SK02,38.953724
SK03,44.239388
SK04,41.546383
TR10,21.136242
TR21,25.72592
UKE4,29.702423
UKF1,29.434061
UKF2,28.42109
UKF3,27.66015
UKG1,28.74793
UKG2,29.646786
UKG3,29.819418
UKH1,25.831423
UKH2,27.466663
UKH3,26.065626
UKI3,26.19168
UKI4,26.19168
UKI5,26.809458
UKI6,27.69973
UKI7,26.574602
UKJ1,27.976486
UKJ2,26.677595
UKJ3,27.398975
UKJ4,26.10568
NO09,41.896214
NO0A,47.250324
NO0B,18.942165
HR05,44.699417
HR06,43.412537
NO02,36.43576
NO06,37.70039
NO07,33.2941
NO08,37.735573
