nuts,February Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP8.5 - (2071 - 2100)
FRD2,30.05971
FRE1,30.283749
FRE2,29.191145
FRF1,40.84253
NL13,28.480896
NL21,28.7249
NL22,29.98411
NL23,29.518944
NL31,28.744694
NL32,29.722034
ITG2,28.345839
ITH1,38.77649
ITH2,47.109005
FRI3,36.68764
FRJ1,44.500202
FRJ2,39.954067
FRK1,38.559822
FRK2,51.36958
FRL0,42.007877
FRM0,36.683567
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,52.177513
TR32,50.71584
TR33,33.224457
HR03,64.3164
HR02,39.331528
HU11,27.012503
HU12,26.879108
HU21,28.926142
HU22,30.340189
PT16,46.36656
PT17,33.71813
FRF2,37.24421
FRF3,40.450817
FRG0,34.27527
FRH0,36.945816
FRI1,43.193546
FRI2,44.280746
ITC4,47.18068
ITF1,44.761543
ITF2,43.256218
ITF3,56.38508
ITF4,33.89526
ITF5,38.14042
ITF6,49.64853
ITG1,34.58308
LT01,22.533182
LT02,23.515991
LU00,36.71684
PL22,26.542587
PL41,22.573732
PL42,24.620876
PT18,30.747107
PT20,0.0
PT30,0.0
RO11,31.013239
RO12,27.554289
RO21,25.314257
RO22,27.328142
RO31,28.664946
RO32,28.09527
ITH3,46.73513
ITH4,60.06275
ITH5,44.484077
ITI1,45.514713
ITI2,42.73391
ITI3,37.960087
ITI4,50.82478
LI00,59.930916
FI1D,18.316132
TR82,36.48209
TR83,34.909187
TR90,46.846474
TRA1,39.65847
TRA2,41.40436
PL43,23.591845
PL51,25.990555
PL52,23.571283
PL61,21.245531
PL62,25.00135
PL63,22.811954
PL71,22.825935
PL72,22.908653
PL81,23.421507
PL82,28.458305
PL84,22.79081
PL91,23.479134
PL92,22.347298
PT11,58.13983
PT15,28.494444
TRB1,55.212532
TRB2,67.50304
TRC1,42.842678
RS12,29.255087
RS21,35.17327
RS22,31.467768
SE11,20.85713
SE12,22.043058
NL33,29.048563
NL34,28.34911
NL41,30.372585
NL42,31.997892
PL21,28.22422
UKM6,48.653774
TR22,45.254192
TRC2,43.81833
TRC3,41.748928
UKC1,30.873857
UKC2,30.450745
UKD1,40.751343
UKD3,33.508015
UKD4,38.852993
UKD6,29.39145
UKD7,31.907305
UKE1,24.814316
UKE2,31.278276
UKE3,26.909008
RO41,32.268894
RO42,31.959301
RS11,29.292633
TR41,32.90393
TR42,41.22119
TR51,25.621014
TR52,27.569828
TR61,45.098763
TR62,42.595734
TR63,47.694828
TR71,25.116169
TR72,33.333164
TR81,45.322063
UKK1,26.26984
UKK2,31.091496
UKK3,37.38597
UKK4,33.46837
UKL1,42.131252
UKL2,37.277874
UKM5,34.245285
UKM7,40.786613
UKM8,48.039185
UKM9,40.719406
UKN0,33.91403
SE21,23.527756
SE22,25.42098
SE23,27.281128
SE31,23.577915
SE32,25.436031
SE33,26.103813
SI03,44.854275
SI04,56.06977
SK01,24.823908
SK02,27.519636
SK03,31.25115
SK04,28.687485
TR10,39.636856
TR21,39.38991
UKE4,31.233183
UKF1,25.225866
UKF2,22.805475
UKF3,23.495508
UKG1,25.881628
UKG2,28.71491
UKG3,25.195099
UKH1,23.69714
UKH2,23.385632
UKH3,24.91233
UKI3,25.682606
UKI4,25.682606
UKI5,24.787184
UKI6,26.06636
UKI7,24.816189
UKJ1,23.439636
UKJ2,29.723095
UKJ3,29.194874
UKJ4,27.926298
NO09,53.92418
NO0A,75.75657
NO0B,34.522743
HR05,37.91117
HR06,37.244324
NO02,29.860867
NO06,50.50464
NO07,43.235737
NO08,36.15473
