nuts,October Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP4.5 - (2011 - 2040)
FRJ2,48.348923
FRK1,46.263577
FRK2,58.01812
FRL0,59.10563
FRM0,49.642494
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,36.321518
TR32,32.0182
TR33,25.690634
HR03,80.08597
HR02,41.906033
HU11,29.077517
HU12,29.959894
HU21,31.427324
HU22,34.523277
PT16,55.579113
PT17,36.725708
FRF2,36.923668
FRF3,39.704067
FRG0,35.50263
FRH0,37.353603
FRI1,45.063187
FRI2,45.523746
ITC4,71.498344
ITF1,50.398083
ITF2,48.098503
ITF3,66.68826
ITF4,43.165306
ITF5,42.925526
ITF6,56.324257
ITG1,41.13799
LT01,28.231176
LT02,29.409883
LU00,35.00944
PL22,30.788742
PL41,23.400555
PL42,26.131645
PT18,36.448368
PT20,0.0
PT30,0.0
RO11,33.724743
RO12,31.886644
RO21,30.006365
RO22,31.131495
RO31,32.069115
RO32,33.025963
ITH3,68.70121
ITH4,94.782555
ITH5,56.566055
ITI1,60.896133
ITI2,50.613743
ITI3,45.26762
ITI4,68.236336
LI00,57.31185
FI1D,27.194786
TR82,38.338882
TR83,35.834503
TR90,64.97786
TRA1,34.389122
TRA2,44.09673
PL43,22.68256
PL51,26.142223
PL52,27.374838
PL61,23.268303
PL62,27.837498
PL63,28.858574
PL71,24.815634
PL72,27.222828
PL81,26.675629
PL82,33.7947
PL84,25.574419
PL91,25.48493
PL92,25.07117
PT11,70.18734
PT15,32.16261
TRB1,36.17764
TRB2,39.874355
TRC1,30.25612
RS12,30.78066
RS21,32.959236
RS22,30.943436
SE11,29.141829
SE12,28.724989
NL33,36.40305
NL34,33.560085
NL41,31.214067
NL42,31.872553
PL21,33.843174
UKM6,55.598797
TR22,41.127354
TRC2,30.556887
TRC3,28.689331
UKC1,30.316526
UKC2,31.9663
UKD1,51.80851
UKD3,41.959766
UKD4,51.587498
UKD6,35.837402
UKD7,43.592556
UKE1,28.847576
UKE2,33.86232
UKE3,29.500748
RO41,34.301342
RO42,34.387142
RS11,32.402924
TR41,30.071304
TR42,42.744385
TR51,22.98021
TR52,19.703957
TR61,35.01458
TR62,37.425945
TR63,34.46584
TR71,21.869375
TR72,29.102833
TR81,50.69268
UKK1,33.79143
UKK2,39.603382
UKK3,44.152245
UKK4,41.78706
UKL1,52.934494
UKL2,42.874397
UKM5,43.01069
UKM7,47.98239
UKM8,56.551216
UKM9,49.470417
UKN0,43.130226
SE21,28.020576
SE22,30.461588
SE23,35.929604
SE31,34.084602
SE32,35.46497
SE33,33.631695
SI03,59.0995
SI04,83.00475
SK01,28.513172
SK02,29.755808
SK03,34.992226
SK04,34.70904
TR10,47.45908
TR21,40.921173
UKE4,33.78996
UKF1,30.843225
UKF2,29.870998
UKF3,28.420704
UKG1,32.154064
UKG2,34.252728
UKG3,32.5242
UKH1,29.891098
UKH2,27.057987
UKH3,28.881308
UKI3,27.628307
UKI4,27.628307
UKI5,26.794865
UKI6,28.981352
UKI7,26.592676
UKJ1,30.204224
UKJ2,37.19416
UKJ3,37.67417
UKJ4,33.65431
NO09,66.3256
NO0A,87.35182
NO0B,35.46088
HR05,46.35345
HR06,44.329712
NO02,42.051197
NO06,51.630665
NO07,47.574677
NO08,48.983456
