nuts,June Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP8.5 - (2071 - 2100)
NL31,35.27077
NL32,34.693382
ITG2,11.109895
ITH1,59.915424
ITH2,61.894096
FRI3,28.009155
FRJ1,29.652292
FRJ2,39.493248
FRK1,37.777454
FRK2,46.179276
FRL0,29.768269
FRM0,18.357225
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,10.371275
TR32,9.814201
TR33,16.03897
HR03,39.621883
HR02,44.691505
HU11,36.556656
HU12,38.701427
HU21,36.186756
HU22,41.05461
PT16,12.041247
PT17,6.2246094
FRF2,37.308105
FRF3,40.205044
FRG0,25.619678
FRH0,27.769958
FRI1,35.44507
FRI2,38.143803
ITC4,52.062782
ITF1,32.013645
ITF2,27.738495
ITF3,21.444532
ITF4,15.8249855
ITF5,17.05616
ITF6,12.917997
ITG1,6.3555236
LT01,42.190086
LT02,39.597
LU00,38.13789
PL22,45.09328
PL41,37.968643
PL42,40.19588
PT18,7.711339
PT20,0.0
PT30,0.0
RO11,53.367767
RO12,53.3299
RO21,51.71056
RO22,37.220425
RO31,46.213154
RO32,44.679234
ITH3,55.025658
ITH4,67.68538
ITH5,39.652172
ITI1,28.272255
ITI2,29.279879
ITI3,32.728325
ITI4,24.569868
LI00,96.955574
FI1D,41.77619
TR82,29.104622
TR83,25.901121
TR90,44.60396
TRA1,28.46697
TRA2,37.80632
PL43,37.298466
PL51,41.537273
PL52,41.874516
PL61,37.09859
PL62,40.804016
PL63,39.6767
PL71,39.051205
PL72,43.379406
PL81,43.929493
PL82,49.463367
PL84,40.05993
PL91,41.17569
PL92,39.673336
PT11,19.485163
PT15,4.8632283
TRB1,11.747456
TRB2,14.655812
TRC1,4.9381084
RS12,36.413074
RS21,38.67251
RS22,36.08246
SE11,32.14218
SE12,37.26612
NL33,33.316467
NL34,31.5464
NL41,34.424458
NL42,33.74857
PL21,51.193516
UKM6,37.027622
TR22,16.114332
TRC2,4.1869683
TRC3,3.4309344
UKC1,30.141346
UKC2,31.152122
UKD1,39.54903
UKD3,37.666447
UKD4,39.23041
UKD6,35.296196
UKD7,37.088924
UKE1,31.071812
UKE2,33.555748
UKE3,36.026768
RO41,42.331432
RO42,47.330254
RS11,39.074192
TR41,20.160177
TR42,30.952248
TR51,17.80651
TR52,14.250456
TR61,15.502058
TR62,18.120914
TR63,10.523628
TR71,17.175957
TR72,17.992893
TR81,34.850677
UKK1,29.891975
UKK2,30.676754
UKK3,31.291754
UKK4,32.568935
UKL1,36.88561
UKL2,36.347195
UKM5,34.042526
UKM7,35.056038
UKM8,38.37336
UKM9,35.591072
UKN0,33.09295
SE21,36.195824
SE22,34.780212
SE23,43.660408
SE31,40.88045
SE32,41.638565
SE33,44.296913
SI03,56.727943
SI04,63.65878
SK01,39.703613
SK02,42.260147
SK03,48.687473
SK04,46.92166
TR10,22.770655
TR21,23.607853
UKE4,36.965363
UKF1,35.2783
UKF2,31.880703
UKF3,30.818226
UKG1,31.275673
UKG2,35.861
UKG3,34.04908
UKH1,29.820135
UKH2,28.791761
UKH3,28.88368
UKI3,30.649427
UKI4,30.649427
UKI5,30.579134
UKI6,29.873182
UKI7,29.775776
UKJ1,27.379671
UKJ2,27.374159
UKJ3,29.152729
UKJ4,27.604687
NO09,50.379276
NO0A,56.307526
NO0B,18.51407
HR05,49.043953
HR06,49.89241
NO02,49.459923
NO06,49.432453
NO07,45.337948
NO08,48.929764
