nuts,May Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP8.5 - (2041 - 2070)
NL13,30.095022
NL21,32.735245
NL22,30.651989
NL23,31.616913
NL31,32.060772
NL32,31.001764
ITG2,24.431957
ITH1,53.653828
ITH2,60.057415
FRI3,35.17568
FRJ1,46.492023
FRJ2,49.633125
FRK1,46.658318
FRK2,54.20865
FRL0,40.72147
FRM0,30.373913
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,19.945759
TR32,22.640928
TR33,24.489534
HR03,48.220848
HR02,43.079758
HU11,33.938847
HU12,34.37858
HU21,35.84771
HU22,36.856125
PT16,32.94105
PT17,22.402037
FRF2,35.498184
FRF3,40.01466
FRG0,32.608578
FRH0,33.054413
FRI1,40.701447
FRI2,43.055897
ITC4,56.66123
ITF1,37.395973
ITF2,32.993176
ITF3,33.76959
ITF4,21.948868
ITF5,26.119892
ITF6,26.535322
ITG1,14.741419
LT01,34.51339
LT02,30.532587
LU00,34.394623
PL22,41.645176
PL41,29.435534
PL42,30.46621
PT18,21.739105
PT20,0.0
PT30,0.0
RO11,44.18391
RO12,45.469887
RO21,40.41383
RO22,30.874075
RO31,39.227924
RO32,36.339268
ITH3,55.553417
ITH4,66.171165
ITH5,42.460957
ITI1,36.949272
ITI2,35.985504
ITI3,35.27961
ITI4,35.691612
LI00,76.60299
FI1D,27.46158
TR82,36.4863
TR83,36.09412
TR90,54.025467
TRA1,44.34025
TRA2,44.99662
PL43,29.075048
PL51,33.85247
PL52,36.559914
PL61,29.547562
PL62,31.770247
PL63,30.179678
PL71,35.78866
PL72,36.824898
PL81,36.37507
PL82,43.809837
PL84,34.22569
PL91,34.788063
PL92,34.65753
PT11,41.944996
PT15,17.800644
TRB1,39.061626
TRB2,45.81282
TRC1,22.86828
RS12,36.214985
RS21,43.786587
RS22,38.653126
SE11,22.562405
SE12,28.015062
NL33,30.874372
NL34,30.553795
NL41,31.20337
NL42,31.762375
PL21,47.125626
UKM6,34.86821
TR22,27.510738
TRC2,22.710707
TRC3,21.60997
UKC1,26.727547
UKC2,28.203701
UKD1,35.969833
UKD3,31.81182
UKD4,33.96169
UKD6,30.026379
UKD7,29.86058
UKE1,27.149822
UKE2,28.977026
UKE3,28.962784
RO41,41.868065
RO42,43.646812
RS11,38.549065
TR41,27.09397
TR42,34.854362
TR51,24.069565
TR52,23.42932
TR61,25.285803
TR62,34.038017
TR63,30.403763
TR71,26.652515
TR72,33.63812
TR81,38.65587
UKK1,29.113981
UKK2,29.36313
UKK3,30.67448
UKK4,30.969385
UKL1,34.932003
UKL2,34.437187
UKM5,30.18262
UKM7,33.642174
UKM8,38.313698
UKM9,34.79488
UKN0,33.070522
SE21,28.439096
SE22,27.765478
SE23,32.474983
SE31,33.072735
SE32,31.287973
SE33,30.008274
SI03,50.46069
SI04,57.91536
SK01,36.42968
SK02,40.3506
SK03,46.13699
SK04,44.270668
TR10,21.777431
TR21,25.88392
UKE4,30.916044
UKF1,29.288832
UKF2,29.801598
UKF3,27.139902
UKG1,30.5506
UKG2,30.701683
UKG3,31.016127
UKH1,27.412725
UKH2,29.057217
UKH3,27.235683
UKI3,29.775463
UKI4,29.775463
UKI5,28.998173
UKI6,29.893414
UKI7,28.669596
UKJ1,29.032629
UKJ2,28.585546
UKJ3,28.141985
UKJ4,28.90334
NO09,45.89973
NO0A,51.329292
NO0B,22.767275
HR05,41.716885
HR06,39.91158
NO02,40.166466
NO06,39.999035
NO07,35.009495
NO08,41.69466
