nuts,April Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP8.5 - (2071 - 2100)
FRI1,43.29554
FRI2,46.17339
ITC4,54.4101
ITF1,44.286865
ITF2,41.160183
ITF3,45.179977
ITF4,28.45691
ITF5,33.828632
ITF6,35.84298
ITG1,23.511248
LT01,28.821135
LT02,27.290352
LU00,32.359474
PL22,35.726692
PL41,23.56575
PL42,25.456226
PT18,27.391592
PT20,0.0
PT30,0.0
RO11,40.68555
RO12,42.210033
RO21,36.714867
RO22,28.686655
RO31,35.941692
RO32,35.13183
ITH3,48.05503
ITH4,63.604233
ITH5,46.59912
ITI1,42.868298
ITI2,43.77445
ITI3,42.917187
ITI4,43.488247
LI00,64.41222
FI1D,21.687183
TR82,40.54633
TR83,40.37563
TR90,53.034878
TRA1,44.712166
TRA2,45.48354
PL43,25.459963
PL51,28.152721
PL52,28.809406
PL61,24.390373
PL62,25.56954
PL63,26.126478
PL71,25.296877
PL72,31.033802
PL81,29.630861
PL82,34.6099
PL84,25.98801
PL91,27.350239
PL92,27.03128
PT11,44.914047
PT15,26.119242
TRB1,43.360283
TRB2,55.534252
TRC1,27.881348
RS12,32.922985
RS21,43.980156
RS22,39.988308
SE11,21.44689
SE12,25.451973
NL33,28.595549
NL34,28.646315
NL41,28.326538
NL42,27.65769
PL21,38.148315
UKM6,38.47396
TR22,33.057697
TRC2,32.075798
TRC3,31.765347
UKC1,29.813295
UKC2,29.051813
UKD1,35.749012
UKD3,33.23452
UKD4,35.223618
UKD6,30.42217
UKD7,31.166233
UKE1,27.736038
UKE2,31.136106
UKE3,30.345486
RO41,41.169273
RO42,40.17196
RS11,37.389763
TR41,30.019363
TR42,36.826096
TR51,27.866526
TR52,24.1745
TR61,29.776743
TR62,33.108513
TR63,33.856777
TR71,28.490257
TR72,34.75894
TR81,42.306572
UKK1,27.852594
UKK2,29.907299
UKK3,30.209635
UKK4,31.812225
UKL1,35.559025
UKL2,34.09364
UKM5,29.94912
UKM7,34.29307
UKM8,41.67209
UKM9,36.552914
UKN0,32.849106
SE21,24.16116
SE22,24.389547
SE23,29.114197
SE31,30.027712
SE32,29.671234
SE33,25.94892
SI03,48.170853
SI04,59.56149
SK01,26.811766
SK02,29.982988
SK03,36.70313
SK04,33.74868
TR10,26.905653
TR21,30.15013
UKE4,33.005245
UKF1,28.209463
UKF2,27.11998
UKF3,25.551014
UKG1,28.858627
UKG2,29.72992
UKG3,29.332956
UKH1,24.271837
UKH2,23.956654
UKH3,25.193073
UKI3,25.311935
UKI4,25.311935
UKI5,24.896416
UKI6,25.289623
UKI7,25.24986
UKJ1,25.48619
UKJ2,24.93298
UKJ3,27.00122
UKJ4,26.03404
NO09,43.3391
NO0A,59.53579
NO0B,30.51475
HR05,37.77552
HR06,37.438114
NO02,32.843945
NO06,44.17325
NO07,36.284416
NO08,35.14434
