nuts,June Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP4.5 - (2041 - 2070)
DED4,36.768505
DED5,30.14402
DEE0,30.98974
DEF0,38.65466
DEG0,33.783443
DK01,34.52573
DK02,35.99408
DK03,36.839973
DK04,37.556072
ES41,26.995823
ES42,21.102617
HU23,39.401287
HU31,37.281467
HU32,38.205624
HU33,35.946873
IE04,35.85853
EE00,36.052097
EL30,6.230019
EL41,4.8754015
EL43,3.9368443
EL51,29.24646
EL52,29.893724
FI20,28.115847
FR10,30.195206
FRB0,30.607233
FRC1,39.197495
FRC2,51.995598
FRD1,30.620914
FRD2,32.59832
FRE1,31.12881
FRE2,31.4244
FRF1,44.352478
NL13,36.742348
NL21,37.14078
NL22,36.460163
NL23,36.9413
NL31,36.25422
NL32,33.633324
ITG2,15.485267
ITH1,58.860817
ITH2,63.701313
FRI3,31.462727
FRJ1,34.65183
FRJ2,42.675854
FRK1,43.35463
FRK2,51.77044
FRL0,37.733322
FRM0,25.809765
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,11.04986
TR32,12.624389
TR33,19.432495
HR03,40.180855
HR02,46.520348
HU11,33.047684
HU12,36.390427
HU21,36.40383
HU22,38.853035
PT16,18.890703
PT17,10.229165
FRF2,35.984436
FRF3,40.566975
FRG0,27.304916
FRH0,28.89485
FRI1,41.16098
FRI2,41.218044
ITC4,58.749237
ITF1,35.515316
ITF2,33.19903
ITF3,23.455906
ITF4,19.059053
ITF5,21.754822
ITF6,18.326841
ITG1,9.779832
LT01,36.379654
LT02,35.413013
LU00,37.2355
PL22,41.775635
PL41,34.419666
PL42,36.10816
PT18,12.218043
PT20,0.0
PT30,0.0
RO11,49.052105
RO12,52.088192
RO21,47.52006
RO22,36.10357
RO31,42.9962
RO32,41.953148
ITH3,57.37044
ITH4,70.65951
ITH5,43.440304
ITI1,31.34814
ITI2,33.319466
ITI3,38.086834
ITI4,29.948938
LI00,90.56282
FI1D,36.14115
TR82,35.515835
TR83,29.155453
TR90,48.9418
TRA1,30.326008
TRA2,41.3216
PL43,35.515553
PL51,38.39378
PL52,39.447006
PL61,33.33345
PL62,35.58328
PL63,33.89829
PL71,35.78219
PL72,38.313023
PL81,38.04083
PL82,45.100227
PL84,35.715755
PL91,34.431522
PL92,36.43901
PT11,27.434418
PT15,7.9562902
TRB1,15.192247
TRB2,19.615425
TRC1,7.1842556
RS12,38.60993
RS21,43.93895
RS22,36.809566
SE11,32.55575
SE12,34.77953
NL33,33.127895
NL34,32.01603
NL41,36.12594
NL42,35.724434
PL21,47.617252
UKM6,36.13932
TR22,19.245457
TRC2,6.039667
TRC3,4.587372
UKC1,29.688343
UKC2,30.50411
UKD1,38.59109
UKD3,34.912212
UKD4,38.109535
UKD6,32.748966
UKD7,34.243183
UKE1,28.792515
UKE2,32.391075
UKE3,31.798624
RO41,43.72538
RO42,47.70556
RS11,39.288315
TR41,24.817001
TR42,33.421585
TR51,19.300774
TR52,16.528917
TR61,17.13798
TR62,20.486414
TR63,12.695546
TR71,19.128153
TR72,21.64416
TR81,41.557636
UKK1,28.783327
UKK2,29.880814
UKK3,34.34498
UKK4,32.809433
UKL1,38.01055
UKL2,36.340122
UKM5,32.222954
UKM7,35.57259
UKM8,39.60004
UKM9,36.2049
UKN0,35.067547
SE21,34.350166
SE22,34.86064
SE23,39.442986
SE31,41.786404
SE32,39.72113
SE33,37.2912
SI03,55.89691
SI04,63.288654
SK01,36.939964
SK02,37.743183
SK03,44.86476
SK04,43.56111
TR10,22.180733
TR21,24.09673
UKE4,34.283817
UKF1,31.918205
UKF2,29.900297
UKF3,28.3593
UKG1,30.817722
UKG2,32.89666
UKG3,31.090345
UKH1,27.197014
UKH2,28.025421
UKH3,27.96427
UKI3,27.031136
UKI4,27.031136
UKI5,27.699448
UKI6,28.078543
UKI7,26.894716
UKJ1,27.550497
UKJ2,28.153519
UKJ3,26.861727
UKJ4,27.917273
NO09,49.08665
NO0A,51.855938
NO0B,16.153633
HR05,45.646103
HR06,46.874775
NO02,45.702953
NO06,46.90442
NO07,42.581654
NO08,46.946438
