nuts,Annual Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP8.5 - (2071 - 2100)
TR61,91.60242
TR62,96.85706
TR63,87.29205
TR71,56.256348
TR72,64.68628
TR81,96.81208
UKK1,60.079628
UKK2,65.311005
UKK3,66.985985
UKK4,66.707596
UKL1,82.31134
UKL2,72.9446
UKM5,69.50855
UKM7,76.8037
UKM8,90.058655
UKM9,76.8216
UKN0,66.96957
SE21,62.092796
SE22,62.57077
SE23,69.28547
SE31,65.73681
SE32,71.4629
SE33,73.006935
SI03,111.76076
SI04,138.87747
SK01,73.65193
SK02,73.970146
SK03,78.851166
SK04,78.86005
TR10,86.76685
TR21,83.56876
UKE4,65.74882
UKF1,59.49382
UKF2,55.27861
UKF3,53.668922
UKG1,60.053715
UKG2,60.402096
UKG3,56.560696
UKH1,54.94685
UKH2,54.599903
UKH3,54.3271
UKI3,54.42095
UKI4,54.42095
UKI5,55.52165
UKI6,56.84808
UKI7,54.356113
UKJ1,57.206867
UKJ2,64.16742
UKJ3,63.034115
UKJ4,59.947906
NO09,113.80726
NO0A,146.90694
NO0B,61.77732
HR05,93.063896
HR06,89.86034
NO02,79.405815
NO06,100.89164
NO07,92.82029
NO08,86.67095
