nuts,Summer Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP4.5 - (2041 - 2070)
FI1D,51.28583
TR82,41.52188
TR83,35.026237
TR90,69.1784
TRA1,37.85838
TRA2,52.266453
PL43,51.831207
PL51,58.329647
PL52,57.481754
PL61,52.202106
PL62,49.89415
PL63,54.117958
PL71,52.522827
PL72,54.987434
PL81,55.716637
PL82,63.505604
PL84,50.764324
PL91,51.45411
PL92,51.01209
PT11,35.937927
PT15,9.380777
TRB1,17.551422
TRB2,21.43751
TRC1,7.8523593
RS12,48.446434
RS21,54.538692
RS22,47.771053
SE11,46.2868
SE12,48.586773
NL33,49.034313
NL34,48.021366
NL41,46.102913
NL42,47.81352
PL21,64.23471
UKM6,53.689415
TR22,24.11751
TRC2,6.464594
TRC3,4.819154
UKC1,46.376213
UKC2,46.72294
UKD1,53.727573
UKD3,47.951332
UKD4,53.033585
UKD6,46.75857
UKD7,49.744736
UKE1,40.569557
UKE2,46.54136
UKE3,43.050148
RO41,63.41086
RO42,57.518124
RS11,50.95406
TR41,30.513603
TR42,43.64004
TR51,22.48212
TR52,18.79161
TR61,20.830315
TR62,23.114288
TR63,13.475807
TR71,21.07026
TR72,24.222507
TR81,56.668186
UKK1,43.6208
UKK2,45.262268
UKK3,46.074696
UKK4,47.344955
UKL1,51.888733
UKL2,50.242558
UKM5,45.077744
UKM7,51.341705
UKM8,57.1432
UKM9,51.755875
UKN0,48.226585
SE21,50.19539
SE22,47.907078
SE23,55.49183
SE31,53.201817
SE32,54.57379
SE33,56.62749
SI03,72.49399
SI04,83.24997
SK01,50.865196
SK02,52.313557
SK03,58.48775
SK04,58.6624
TR10,37.957798
TR21,31.988892
UKE4,47.38649
UKF1,42.056793
UKF2,39.38956
UKF3,40.093582
UKG1,44.069534
UKG2,45.609802
UKG3,42.96913
UKH1,37.404335
UKH2,41.227047
UKH3,40.9284
UKI3,42.80052
UKI4,42.80052
UKI5,43.22123
UKI6,43.479153
UKI7,41.249203
UKJ1,41.58133
UKJ2,41.843166
UKJ3,40.727283
UKJ4,41.2212
NO09,69.80275
NO0A,81.22705
NO0B,29.240353
HR05,59.037193
HR06,60.61366
NO02,60.63403
NO06,65.61667
NO07,58.822384
NO08,63.02853
