nuts,March Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP4.5 - (2071 - 2100)
FRD2,28.218805
FRE1,29.312418
FRE2,29.330847
FRF1,38.86676
NL13,26.611708
NL21,29.178806
NL22,30.13933
NL23,29.273138
NL31,29.796307
NL32,28.071842
ITG2,31.450039
ITH1,40.732872
ITH2,47.98574
FRI3,30.853567
FRJ1,39.672318
FRJ2,38.943794
FRK1,34.061413
FRK2,43.36744
FRL0,37.02216
FRM0,37.925564
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,45.31906
TR32,42.694355
TR33,32.61763
HR03,56.55552
HR02,35.41993
HU11,23.752232
HU12,24.281649
HU21,24.336176
HU22,25.146975
PT16,37.655518
PT17,28.64231
FRF2,33.32542
FRF3,37.581585
FRG0,29.481539
FRH0,32.134266
FRI1,37.10361
FRI2,39.98554
ITC4,44.500378
ITF1,44.107796
ITF2,39.46389
ITF3,51.484825
ITF4,32.950375
ITF5,38.235046
ITF6,49.429855
ITG1,30.642897
LT01,22.86613
LT02,23.64115
LU00,34.32415
PL22,28.843393
PL41,23.497625
PL42,25.098667
PT18,27.21649
PT20,0.0
PT30,0.0
RO11,32.07911
RO12,31.407042
RO21,29.276451
RO22,29.786758
RO31,30.032394
RO32,30.185066
ITH3,46.180588
ITH4,61.930775
ITH5,43.6834
ITI1,40.073
ITI2,40.52523
ITI3,40.739887
ITI4,45.23595
LI00,62.76779
FI1D,18.681082
TR82,35.748734
TR83,35.687923
TR90,46.81659
TRA1,38.09383
TRA2,36.81238
PL43,25.641956
PL51,28.401297
PL52,25.64331
PL61,22.463432
PL62,23.455744
PL63,23.029613
PL71,24.03324
PL72,25.426748
PL81,24.31966
PL82,29.350351
PL84,22.589054
PL91,23.466404
PL92,23.586952
PT11,46.116436
PT15,28.381796
TRB1,49.559357
TRB2,59.967857
TRC1,41.33601
RS12,29.138414
RS21,38.090458
RS22,34.44964
SE11,17.707947
SE12,19.182505
NL33,29.449747
NL34,27.616533
NL41,29.520071
NL42,30.650106
PL21,29.890335
UKM6,44.873444
TR22,43.201454
TRC2,40.66657
TRC3,37.231503
UKC1,28.305918
UKC2,27.964085
UKD1,37.788155
UKD3,33.36633
UKD4,36.53342
UKD6,28.259047
UKD7,30.577572
UKE1,24.818867
UKE2,29.260893
UKE3,27.097828
RO41,33.303852
RO42,33.999912
RS11,33.80999
TR41,34.245964
TR42,40.673065
TR51,28.04665
TR52,25.569286
TR61,41.72205
TR62,43.434307
TR63,48.67893
TR71,28.1956
TR72,32.8795
TR81,44.382896
UKK1,27.252316
UKK2,29.791641
UKK3,33.585487
UKK4,31.931698
UKL1,37.95954
UKL2,33.330585
UKM5,31.743717
UKM7,40.047592
UKM8,44.767952
UKM9,38.11077
UKN0,32.859673
SE21,20.592813
SE22,21.586426
SE23,24.619019
SE31,23.54232
SE32,24.05974
SE33,25.09354
SI03,41.861
SI04,56.58141
SK01,22.336716
SK02,25.646826
SK03,30.627607
SK04,28.458618
TR10,35.85392
TR21,37.496372
UKE4,30.317165
UKF1,25.992296
UKF2,24.063341
UKF3,24.241888
UKG1,25.49458
UKG2,26.842812
UKG3,24.548857
UKH1,24.27728
UKH2,23.662136
UKH3,22.699549
UKI3,23.712675
UKI4,23.712675
UKI5,23.069504
UKI6,23.481304
UKI7,23.339607
UKJ1,25.343601
UKJ2,26.030926
UKJ3,27.314754
UKJ4,23.910204
NO09,48.679806
NO0A,68.65847
NO0B,28.205996
HR05,35.241913
HR06,34.062416
NO02,28.03191
NO06,46.288223
NO07,39.61648
NO08,33.430378
