nuts,December Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP8.5 - (2041 - 2070)
DEA5,43.987667
DEB1,37.91453
DEB2,42.072464
DEB3,36.183266
DEC0,44.74233
DED2,29.52593
DED4,33.868244
DED5,29.14133
DEE0,28.333265
DEF0,32.227093
DEG0,31.913582
DK01,28.870579
DK02,28.251822
DK03,33.35712
DK04,31.15712
ES41,39.68336
ES42,29.636383
HU23,29.404902
HU31,23.39356
HU32,26.104643
HU33,26.039244
IE04,48.353752
EE00,25.021091
EL30,40.073376
EL41,56.679493
EL43,38.433533
EL51,48.231575
EL52,45.544933
FI20,26.56781
FR10,32.869926
FRB0,34.186897
FRC1,41.487984
FRC2,60.382915
FRD1,40.714897
FRD2,37.513153
FRE1,37.77613
FRE2,36.440125
FRF1,47.26499
NL13,31.362827
NL21,34.211094
NL22,34.495525
NL23,35.014915
NL31,35.726444
NL32,38.288013
ITG2,37.092476
ITH1,39.94798
ITH2,44.78969
FRI3,39.986618
FRJ1,44.097107
FRJ2,43.42602
FRK1,39.30376
FRK2,53.393654
FRL0,44.333218
FRM0,47.10854
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,61.451294
TR32,58.114456
TR33,35.560596
HR03,68.479836
HR02,37.772858
HU11,24.320103
HU12,24.551853
HU21,26.774889
HU22,26.339973
PT16,65.3236
PT17,46.995384
FRF2,42.877327
FRF3,47.210068
FRG0,37.480453
FRH0,44.741646
FRI1,43.24266
FRI2,44.834824
ITC4,45.64488
ITF1,46.96827
ITF2,45.130173
ITF3,60.441757
ITF4,36.865097
ITF5,40.92874
ITF6,57.460983
ITG1,40.573586
LT01,25.664848
LT02,26.174013
LU00,43.696056
PL22,27.958647
PL41,24.53007
PL42,27.735876
PT18,43.67065
PT20,0.0
PT30,0.0
RO11,34.11456
RO12,27.34006
RO21,22.080404
RO22,24.070795
RO31,26.497843
RO32,26.308607
ITH3,45.638416
ITH4,66.011284
ITH5,45.687344
ITI1,48.687973
ITI2,42.993443
ITI3,40.151222
ITI4,55.616474
LI00,58.288292
FI1D,21.593204
TR82,44.407932
TR83,38.553288
TR90,54.772312
TRA1,39.170494
TRA2,44.77851
PL43,26.393295
PL51,27.429483
PL52,26.178215
PL61,24.748396
PL62,25.875547
PL63,27.727034
PL71,23.777227
PL72,22.731407
PL81,22.476152
PL82,26.272118
PL84,22.520855
PL91,25.373869
PL92,23.813839
PT11,77.65298
PT15,41.09202
TRB1,58.78273
TRB2,66.97304
TRC1,54.570454
RS12,26.500242
RS21,31.960403
RS22,30.703144
SE11,25.066423
SE12,24.632647
NL33,36.983517
NL34,33.647903
NL41,33.550053
NL42,35.560276
PL21,26.748743
UKM6,57.910385
TR22,48.446472
TRC2,49.835926
TRC3,45.521687
UKC1,35.446873
UKC2,34.295315
UKD1,52.12742
UKD3,41.100166
UKD4,49.470135
UKD6,34.21205
UKD7,40.94313
UKE1,28.38557
UKE2,36.274654
UKE3,30.362606
RO41,30.421555
RO42,31.48966
RS11,26.503334
TR41,36.20216
TR42,49.295395
TR51,29.823374
TR52,34.631237
TR61,59.557655
TR62,64.08774
TR63,55.833206
TR71,32.18067
TR72,35.00582
TR81,54.903934
UKK1,35.194756
UKK2,39.653336
UKK3,43.51028
UKK4,42.673576
UKL1,49.918953
UKL2,42.050762
UKM5,36.899956
UKM7,44.530952
UKM8,55.499428
UKM9,48.081806
UKN0,41.30609
SE21,26.705002
SE22,27.389746
SE23,31.774887
SE31,26.87247
SE32,29.10216
SE33,28.892487
SI03,43.439526
SI04,58.77145
SK01,23.154144
SK02,25.329912
SK03,27.933886
SK04,24.971268
TR10,46.740566
TR21,38.80387
UKE4,36.37677
UKF1,30.182732
UKF2,27.027632
UKF3,25.53379
UKG1,31.55518
UKG2,32.33761
UKG3,30.141533
UKH1,27.109928
UKH2,26.92516
UKH3,27.948898
UKI3,27.370504
UKI4,27.370504
UKI5,26.872005
UKI6,28.918634
UKI7,27.585243
UKJ1,29.578331
UKJ2,36.60694
UKJ3,37.214127
UKJ4,32.748997
NO09,59.660507
NO0A,93.413155
NO0B,35.414417
HR05,38.90962
HR06,36.71334
NO02,34.861767
NO06,57.52353
NO07,48.205616
NO08,38.571873
