nuts,Autumn Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP8.5 - (2041 - 2070)
TR71,36.430992
TR72,45.519245
TR81,67.93136
UKK1,47.198437
UKK2,52.76185
UKK3,57.638336
UKK4,56.385582
UKL1,66.854774
UKL2,57.11555
UKM5,55.869415
UKM7,58.27182
UKM8,68.88142
UKM9,60.917793
UKN0,54.58521
SE21,42.219326
SE22,43.63824
SE23,50.53841
SE31,49.871387
SE32,50.521004
SE33,47.948723
SI03,88.32951
SI04,120.04082
SK01,48.58984
SK02,48.969288
SK03,54.16366
SK04,52.79267
TR10,70.275536
TR21,63.593304
UKE4,46.676556
UKF1,41.717754
UKF2,40.515656
UKF3,39.78612
UKG1,45.28446
UKG2,44.90906
UKG3,42.8261
UKH1,39.832943
UKH2,39.490067
UKH3,38.329395
UKI3,38.291504
UKI4,38.291504
UKI5,38.195766
UKI6,38.891777
UKI7,39.590164
UKJ1,42.51018
UKJ2,49.923252
UKJ3,49.56158
UKJ4,42.967358
NO09,85.28018
NO0A,116.12599
NO0B,48.713577
HR05,69.071724
HR06,68.475845
NO02,56.33064
NO06,78.94968
NO07,64.39232
NO08,65.21121
