nuts,Autumn Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP8.5 - (2011 - 2040)
HU23,48.881863
HU31,42.24496
HU32,42.755547
HU33,42.152287
IE04,57.78528
EE00,42.42465
EL30,46.679184
EL41,57.857723
EL43,42.956738
EL51,64.07828
EL52,63.905464
FI20,40.512085
FR10,40.96049
FRB0,44.48375
FRC1,55.613438
FRC2,71.092896
FRD1,47.9395
FRD2,45.472393
FRE1,44.081818
FRE2,42.874737
FRF1,55.29373
NL13,42.271725
NL21,42.739918
NL22,43.601467
NL23,46.724854
NL31,44.568504
NL32,56.17239
ITG2,53.821747
ITH1,80.53495
ITH2,102.09462
FRI3,51.70043
FRJ1,91.4033
FRJ2,64.863365
FRK1,62.145924
FRK2,83.36178
FRL0,85.64953
FRM0,71.03461
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,65.946396
TR32,63.491
TR33,40.240482
HR03,112.709755
HR02,61.75247
HU11,42.022926
HU12,42.76126
HU21,46.07173
HU22,51.154263
PT16,76.07874
PT17,56.512833
FRF2,50.90172
FRF3,55.919075
FRG0,47.939476
FRH0,50.157898
FRI1,63.941498
FRI2,61.734764
ITC4,101.61712
ITF1,78.221855
ITF2,71.71852
ITF3,94.79462
ITF4,61.534893
ITF5,61.52114
ITF6,85.61529
ITG1,62.01016
LT01,37.92842
LT02,39.578983
LU00,48.03156
PL22,43.815773
PL41,33.280415
PL42,36.96225
PT18,53.43171
PT20,0.0
PT30,0.0
RO11,50.431347
RO12,48.897865
RO21,47.81589
RO22,47.372387
RO31,52.5061
RO32,53.594425
ITH3,102.08196
ITH4,138.86746
ITH5,82.75295
ITI1,88.28828
ITI2,71.48453
ITI3,67.269226
ITI4,94.72661
LI00,91.0845
FI1D,36.48882
TR82,52.664444
TR83,49.89118
TR90,83.040886
TRA1,51.47484
TRA2,54.34189
PL43,33.80737
PL51,40.416534
PL52,39.888004
PL61,32.21765
PL62,38.19441
PL63,37.81222
PL71,34.532864
PL72,38.806366
PL81,40.100006
PL82,48.470264
PL84,36.53878
PL91,35.27459
PL92,35.971146
PT11,91.99554
PT15,51.56632
TRB1,62.30295
TRB2,70.06078
TRC1,53.674904
RS12,42.830315
RS21,49.857254
RS22,46.381588
SE11,38.313282
SE12,38.620354
NL33,49.85025
NL34,46.28619
NL41,42.70868
NL42,43.422165
PL21,47.36439
UKM6,70.2378
TR22,62.469337
TRC2,50.797493
TRC3,43.64898
UKC1,43.333492
UKC2,44.186466
UKD1,62.96234
UKD3,53.13741
UKD4,64.09873
UKD6,44.81593
UKD7,54.747513
UKE1,36.980793
UKE2,45.319935
UKE3,39.421753
RO41,54.377228
RO42,49.083412
RS11,44.371197
TR41,43.4367
TR42,58.359295
TR51,33.189476
TR52,36.669132
TR61,61.41779
TR62,65.825035
TR63,56.938717
TR71,35.54884
TR72,42.227882
TR81,66.92364
UKK1,43.215797
UKK2,50.35407
UKK3,54.54945
UKK4,52.354015
UKL1,63.91146
UKL2,52.621635
UKM5,51.659286
UKM7,56.07894
UKM8,66.18387
UKM9,57.857815
UKN0,52.39876
SE21,39.088383
SE22,40.002678
SE23,48.11702
SE31,44.735325
SE32,46.8414
SE33,45.16045
SI03,84.14437
SI04,115.67864
SK01,44.8617
SK02,45.718727
SK03,49.38367
SK04,47.432976
TR10,65.685295
TR21,62.231697
UKE4,45.133434
UKF1,38.785522
UKF2,36.0667
UKF3,36.203854
UKG1,40.771072
UKG2,42.193493
UKG3,38.30187
UKH1,37.25113
UKH2,34.205368
UKH3,35.34198
UKI3,34.303432
UKI4,34.303432
UKI5,34.205647
UKI6,36.0037
UKI7,35.19981
UKJ1,37.750656
UKJ2,47.173916
UKJ3,46.145287
UKJ4,42.48636
NO09,85.118515
NO0A,111.14427
NO0B,44.99848
HR05,65.88498
HR06,66.49163
NO02,54.661644
NO06,71.355446
NO07,61.536995
NO08,63.338303
