nuts,November Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP8.5 - (2071 - 2100)
ITI2,61.229206
ITI3,48.888695
ITI4,82.438286
LI00,64.995255
FI1D,27.736607
TR82,41.76629
TR83,45.65531
TR90,66.808685
TRA1,45.95905
TRA2,46.773415
PL43,26.08558
PL51,28.712223
PL52,27.442461
PL61,24.234564
PL62,26.51689
PL63,27.749104
PL71,25.387476
PL72,27.246626
PL81,27.130146
PL82,32.86133
PL84,25.028881
PL91,26.83918
PL92,25.837957
PT11,61.649914
PT15,36.329514
TRB1,51.554955
TRB2,61.497295
TRC1,40.395294
RS12,35.869297
RS21,42.4835
RS22,38.507675
SE11,30.04279
SE12,29.733358
NL33,39.717365
NL34,37.94611
NL41,35.805916
NL42,34.918404
PL21,33.030914
UKM6,60.565567
TR22,54.178547
TRC2,42.64066
TRC3,38.17717
UKC1,37.956818
UKC2,37.685863
UKD1,54.531372
UKD3,43.52996
UKD4,51.520477
UKD6,38.056194
UKD7,45.760456
UKE1,32.483025
UKE2,38.160572
UKE3,32.431767
RO41,35.473763
RO42,36.869034
RS11,33.90892
TR41,33.6049
TR42,44.547745
TR51,28.322302
TR52,30.358532
TR61,44.934326
TR62,48.792217
TR63,44.045334
TR71,30.956047
TR72,39.05613
TR81,51.230473
UKK1,36.832996
UKK2,41.741093
UKK3,45.0333
UKK4,43.235405
UKL1,56.005726
UKL2,45.682045
UKM5,40.630333
UKM7,48.564556
UKM8,59.52761
UKM9,52.13131
UKN0,44.90659
SE21,30.804243
SE22,31.138237
SE23,36.72182
SE31,33.445614
SE32,34.617046
SE33,34.29377
SI03,62.916515
SI04,86.2987
SK01,28.537354
SK02,32.284824
SK03,35.471676
SK04,33.44576
TR10,49.43436
TR21,49.70458
UKE4,36.97544
UKF1,31.854292
UKF2,29.387566
UKF3,29.364296
UKG1,34.724873
UKG2,35.614048
UKG3,32.512344
UKH1,29.580706
UKH2,29.72654
UKH3,29.903479
UKI3,30.72003
UKI4,30.72003
UKI5,30.363857
UKI6,31.96803
UKI7,31.260244
UKJ1,32.69889
UKJ2,41.423714
UKJ3,40.59787
UKJ4,36.289635
NO09,67.46242
NO0A,96.40786
NO0B,45.87336
HR05,53.672905
HR06,50.78137
NO02,42.02897
NO06,59.38617
NO07,49.916374
NO08,49.125637
