nuts,January Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP4.5 - (2071 - 2100)
FRG0,37.161556
FRH0,40.19532
FRI1,45.264153
FRI2,49.0209
ITC4,43.714172
ITF1,41.816067
ITF2,41.77662
ITF3,56.11694
ITF4,32.801888
ITF5,39.392876
ITF6,55.026886
ITG1,37.128197
LT01,23.827188
LT02,24.876495
LU00,42.193058
PL22,24.7989
PL41,22.865294
PL42,26.781567
PT18,34.397293
PT20,0.0
PT30,0.0
RO11,29.862223
RO12,24.07678
RO21,18.81828
RO22,24.573288
RO31,26.060175
RO32,25.511253
ITH3,41.75959
ITH4,55.75526
ITH5,40.3102
ITI1,43.775772
ITI2,40.353382
ITI3,33.66248
ITI4,49.606094
LI00,65.329994
FI1D,19.780754
TR82,37.02716
TR83,34.373997
TR90,51.511974
TRA1,38.054504
TRA2,44.55435
PL43,24.254784
PL51,26.853481
PL52,21.565779
PL61,22.449097
PL62,23.276056
PL63,25.603035
PL71,20.860584
PL72,21.23251
PL81,22.172081
PL82,25.220522
PL84,21.718811
PL91,21.833412
PL92,21.302116
PT11,71.35957
PT15,32.797115
TRB1,54.460682
TRB2,68.69354
TRC1,53.362045
RS12,25.432016
RS21,30.187292
RS22,28.099503
SE11,22.83417
SE12,22.252398
NL33,31.51336
NL34,30.001102
NL41,32.409485
NL42,34.54775
PL21,24.823092
UKM6,57.44341
TR22,50.86186
TRC2,51.355484
TRC3,42.867638
UKC1,32.202156
UKC2,33.0431
UKD1,50.78562
UKD3,37.31326
UKD4,46.84903
UKD6,30.65946
UKD7,34.921288
UKE1,26.717705
UKE2,34.29868
UKE3,27.915834
RO41,26.385603
RO42,30.118902
RS11,26.22289
TR41,36.174892
TR42,43.792763
TR51,27.729431
TR52,33.61873
TR61,59.894997
TR62,61.948483
TR63,55.85509
TR71,29.443743
TR72,32.125248
TR81,47.777866
UKK1,31.335192
UKK2,35.12656
UKK3,40.57352
UKK4,37.757843
UKL1,47.186497
UKL2,41.722946
UKM5,39.020363
UKM7,48.59093
UKM8,58.30033
UKM9,47.501286
UKN0,40.993603
SE21,25.213955
SE22,27.68704
SE23,31.042913
SE31,25.431751
SE32,28.708778
SE33,28.627739
SI03,38.178318
SI04,51.352253
SK01,20.775265
SK02,24.791697
SK03,28.864649
SK04,24.611536
TR10,44.650894
TR21,39.038017
UKE4,34.006115
UKF1,27.384125
UKF2,25.073486
UKF3,24.648077
UKG1,27.83114
UKG2,30.944706
UKG3,26.758055
UKH1,25.615305
UKH2,24.134594
UKH3,25.464527
UKI3,25.274012
UKI4,25.274012
UKI5,24.731804
UKI6,27.907272
UKI7,25.335827
UKJ1,27.090237
UKJ2,33.263355
UKJ3,33.37094
UKJ4,30.40448
NO09,61.553047
NO0A,88.30345
NO0B,33.79185
HR05,32.223915
HR06,30.893768
NO02,32.893707
NO06,52.650356
NO07,43.57548
NO08,39.22766
