nuts,April Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP4.5 - (2011 - 2040)
DEA3,26.18227
DEA4,27.55284
DEA5,31.622591
DEB1,28.163773
DEB2,29.130312
DEB3,27.727753
DEC0,31.479303
DED2,26.494831
DED4,28.48463
DED5,23.25781
DEE0,22.085974
DEF0,22.973436
DEG0,25.683487
DK01,19.413065
DK02,19.12246
DK03,22.177523
DK04,22.77866
ES41,33.129368
ES42,29.278242
HU23,27.183746
HU31,27.086403
HU32,27.667042
HU33,26.221188
IE04,32.067867
EE00,20.082521
EL30,19.621428
EL41,28.006659
EL43,19.599094
EL51,32.468872
EL52,33.893734
FI20,16.999718
FR10,26.657845
FRB0,30.050735
FRC1,37.760296
FRC2,48.00754
FRD1,28.84715
FRD2,28.696482
FRE1,25.913506
FRE2,27.237638
FRF1,35.97463
NL13,24.06953
NL21,24.871386
NL22,24.820421
NL23,23.90982
NL31,24.413239
NL32,22.314896
ITG2,29.467571
ITH1,45.81343
ITH2,53.370167
FRI3,32.68803
FRJ1,48.353172
FRJ2,46.240532
FRK1,42.37194
FRK2,52.371487
FRL0,48.178947
FRM0,36.374268
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,34.904102
TR32,31.581774
TR33,30.054655
HR03,53.70749
HR02,35.39305
HU11,25.322126
HU12,26.51694
HU21,26.137259
HU22,26.691368
PT16,40.39874
PT17,30.891525
FRF2,31.826206
FRF3,33.757164
FRG0,29.298859
FRH0,30.105398
FRI1,42.550644
FRI2,43.71227
ITC4,55.96897
ITF1,42.945686
ITF2,37.357708
ITF3,44.48459
ITF4,27.433018
ITF5,33.13292
ITF6,35.838387
ITG1,24.606445
LT01,26.85824
LT02,24.006464
LU00,30.328154
PL22,29.819788
PL41,21.496485
PL42,23.063591
PT18,31.378609
PT20,0.0
PT30,0.0
RO11,38.224915
RO12,39.335953
RO21,34.02351
RO22,26.278015
RO31,32.806248
RO32,32.67718
ITH3,50.36049
ITH4,64.7186
ITH5,45.890514
ITI1,43.795048
ITI2,43.55722
ITI3,38.64891
ITI4,46.44904
LI00,56.456554
FI1D,18.59596
TR82,39.37524
TR83,36.705257
TR90,46.441914
TRA1,40.210464
TRA2,39.889397
PL43,24.209251
PL51,26.53059
PL52,24.770624
PL61,20.426908
PL62,22.63208
PL63,22.254992
PL71,23.337442
PL72,27.564806
PL81,27.309309
PL82,31.771101
PL84,23.685493
PL91,24.990404
PL92,24.003775
PT11,47.96426
PT15,30.29184
TRB1,45.322502
TRB2,58.104404
TRC1,34.291935
RS12,29.22523
RS21,36.810352
RS22,34.564194
SE11,18.879074
SE12,20.862934
NL33,24.431581
NL34,24.773508
NL41,24.7851
NL42,24.742956
PL21,33.55968
UKM6,36.380836
TR22,34.11721
TRC2,37.371426
TRC3,34.557602
UKC1,29.956278
UKC2,28.99946
UKD1,33.957214
UKD3,31.620888
UKD4,33.72067
UKD6,28.370869
UKD7,29.048836
UKE1,27.502003
UKE2,29.75563
UKE3,29.521591
RO41,36.747726
RO42,38.361595
RS11,31.012398
TR41,29.574562
TR42,35.965565
TR51,27.122776
TR52,24.724287
TR61,33.849354
TR62,36.967983
TR63,37.87893
TR71,27.26494
TR72,33.746872
TR81,40.74317
UKK1,27.484531
UKK2,28.292532
UKK3,29.460062
UKK4,30.84671
UKL1,33.029007
UKL2,31.380737
UKM5,28.657574
UKM7,32.39903
UKM8,37.091778
UKM9,33.22884
UKN0,30.027216
SE21,21.420616
SE22,21.221727
SE23,25.740602
SE31,24.11644
SE32,23.181465
SE33,22.093548
SI03,44.162292
SI04,56.91566
SK01,26.14932
SK02,28.445572
SK03,33.87873
SK04,30.261541
TR10,27.273472
TR21,27.898895
UKE4,30.799953
UKF1,28.715786
UKF2,26.724333
UKF3,26.695301
UKG1,27.746672
UKG2,28.936974
UKG3,27.568573
UKH1,24.68557
UKH2,25.833504
UKH3,23.189825
UKI3,25.451128
UKI4,25.451128
UKI5,25.521742
UKI6,25.199816
UKI7,25.705885
UKJ1,26.740011
UKJ2,25.253048
UKJ3,27.390648
UKJ4,24.041899
NO09,39.172207
NO0A,52.900578
NO0B,24.775532
HR05,33.767376
HR06,33.0755
NO02,27.384285
NO06,40.329567
NO07,34.26972
NO08,30.498343
