nuts,September Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP4.5 - (2071 - 2100)
UKE1,29.904207
UKE2,33.523075
UKE3,30.18646
RO41,40.411133
RO42,39.122463
RS11,35.28899
TR41,18.94581
TR42,29.778694
TR51,9.452848
TR52,7.794717
TR61,13.693407
TR62,16.373215
TR63,11.285132
TR71,8.344045
TR72,12.112592
TR81,36.67589
UKK1,27.81468
UKK2,31.496918
UKK3,31.638193
UKK4,32.353268
UKL1,39.767437
UKL2,34.34478
UKM5,36.350235
UKM7,40.752857
UKM8,48.251724
UKM9,40.047764
UKN0,37.569546
SE21,31.079905
SE22,31.079748
SE23,36.162987
SE31,36.038166
SE32,39.112045
SE33,37.299614
SI03,61.83446
SI04,78.22706
SK01,38.408497
SK02,37.00535
SK03,38.45767
SK04,37.998318
TR10,36.972145
TR21,29.817787
UKE4,33.601894
UKF1,30.43397
UKF2,26.681705
UKF3,28.42843
UKG1,27.846996
UKG2,30.290613
UKG3,28.057247
UKH1,25.944912
UKH2,25.78516
UKH3,24.769073
UKI3,24.39135
UKI4,24.39135
UKI5,24.48376
UKI6,24.425661
UKI7,24.8899
UKJ1,26.353119
UKJ2,28.813112
UKJ3,27.392057
UKJ4,26.893555
NO09,57.67629
NO0A,81.95372
NO0B,32.704727
HR05,50.376446
HR06,50.18403
NO02,43.041813
NO06,59.980225
NO07,47.15412
NO08,44.990887
