nuts,May Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP8.5 - (2071 - 2100)
PL22,44.94071
PL41,32.207073
PL42,33.108677
PT18,19.319199
PT20,0.0
PT30,0.0
RO11,47.54288
RO12,52.060104
RO21,40.98952
RO22,31.948109
RO31,41.1489
RO32,38.128784
ITH3,55.871265
ITH4,72.32197
ITH5,42.869812
ITI1,36.07945
ITI2,35.88615
ITI3,34.314514
ITI4,34.96814
LI00,84.54664
FI1D,30.630375
TR82,35.53104
TR83,35.215134
TR90,53.806984
TRA1,39.82339
TRA2,41.74166
PL43,30.807152
PL51,34.377068
PL52,37.311195
PL61,32.176895
PL62,36.476933
PL63,35.057514
PL71,38.581028
PL72,39.43666
PL81,40.404446
PL82,46.48297
PL84,35.833607
PL91,38.83753
PL92,37.984314
PT11,40.411667
PT15,14.535328
TRB1,33.442806
TRB2,35.745293
TRC1,21.252037
RS12,34.77349
RS21,46.56087
RS22,39.971897
SE11,25.086681
SE12,30.705215
NL33,32.25579
NL34,31.292238
NL41,31.488375
NL42,31.035088
PL21,50.966896
UKM6,35.779602
TR22,20.75424
TRC2,18.464716
TRC3,15.920111
UKC1,30.335043
UKC2,30.179167
UKD1,37.05911
UKD3,36.976994
UKD4,37.614407
UKD6,34.864693
UKD7,35.41145
UKE1,28.768875
UKE2,31.938814
UKE3,31.012472
RO41,42.92795
RO42,47.019962
RS11,38.6543
TR41,23.606245
TR42,30.07872
TR51,21.362347
TR52,19.59679
TR61,21.834724
TR62,28.76198
TR63,27.221052
TR71,22.628286
TR72,31.675539
TR81,37.232204
UKK1,30.5547
UKK2,31.094053
UKK3,33.39917
UKK4,32.486183
UKL1,38.116932
UKL2,37.54116
UKM5,32.264484
UKM7,34.856033
UKM8,40.085724
UKM9,35.19825
UKN0,33.606525
SE21,30.957037
SE22,31.370815
SE23,35.081257
SE31,37.287586
SE32,36.203545
SE33,33.106556
SI03,52.21649
SI04,60.26507
SK01,37.37113
SK02,43.33192
SK03,50.3412
SK04,46.61296
TR10,19.548197
TR21,20.888338
UKE4,33.29879
UKF1,30.787752
UKF2,29.141932
UKF3,29.655823
UKG1,32.69751
UKG2,32.74009
UKG3,31.39877
UKH1,29.73542
UKH2,31.802073
UKH3,30.043755
UKI3,31.009827
UKI4,31.009827
UKI5,31.201038
UKI6,29.468292
UKI7,31.164158
UKJ1,30.938507
UKJ2,28.568346
UKJ3,29.273296
UKJ4,27.663137
NO09,49.95979
NO0A,54.92391
NO0B,24.028824
HR05,42.461445
HR06,43.543587
NO02,44.84282
NO06,44.679893
NO07,36.25933
NO08,43.840076
