nuts,April Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP4.5 - (2041 - 2070)
UKE1,25.802029
UKE2,30.077856
UKE3,29.209604
RO41,37.25887
RO42,39.360508
RS11,31.192024
TR41,29.970938
TR42,36.53863
TR51,26.390078
TR52,23.806654
TR61,32.932858
TR62,37.79379
TR63,37.88599
TR71,27.26859
TR72,35.48953
TR81,41.74214
UKK1,28.970673
UKK2,31.034103
UKK3,30.693829
UKK4,32.315945
UKL1,34.180138
UKL2,32.361782
UKM5,28.9907
UKM7,32.829514
UKM8,37.72861
UKM9,33.69184
UKN0,32.275513
SE21,21.305162
SE22,21.913246
SE23,26.428316
SE31,25.947872
SE32,25.066427
SE33,23.017569
SI03,46.780186
SI04,59.172443
SK01,26.080734
SK02,27.44086
SK03,33.01954
SK04,30.382025
TR10,25.748236
TR21,29.08532
UKE4,31.920221
UKF1,28.078903
UKF2,25.442337
UKF3,27.431797
UKG1,27.941607
UKG2,28.468346
UKG3,27.590353
UKH1,24.323643
UKH2,25.13025
UKH3,22.53506
UKI3,24.234913
UKI4,24.234913
UKI5,24.180958
UKI6,24.205011
UKI7,25.366863
UKJ1,26.502867
UKJ2,25.523384
UKJ3,28.085829
UKJ4,23.60987
NO09,39.96389
NO0A,51.17038
NO0B,26.8684
HR05,37.422657
HR06,35.54437
NO02,28.449467
NO06,37.146976
NO07,35.352924
NO08,31.553997
