nuts,Autumn Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP4.5 - (2041 - 2070)
ITH4,140.26056
ITH5,86.09518
ITI1,88.43964
ITI2,76.94412
ITI3,70.258156
ITI4,97.99247
LI00,93.138725
FI1D,37.681282
TR82,55.862267
TR83,50.91377
TR90,82.99686
TRA1,52.841152
TRA2,58.93876
PL43,35.7693
PL51,41.06197
PL52,41.399864
PL61,34.518566
PL62,41.018215
PL63,38.52909
PL71,37.303165
PL72,40.53682
PL81,40.49815
PL82,47.300877
PL84,38.18193
PL91,37.688633
PL92,37.925232
PT11,93.35624
PT15,59.10745
TRB1,61.336937
TRB2,67.776855
TRC1,52.462162
RS12,44.020756
RS21,53.44592
RS22,45.14411
SE11,40.648384
SE12,40.672787
NL33,50.90992
NL34,46.524742
NL41,44.186333
NL42,42.743988
PL21,48.130226
UKM6,70.511536
TR22,64.53298
TRC2,51.63588
TRC3,44.636467
UKC1,46.01449
UKC2,45.922855
UKD1,64.28845
UKD3,51.42901
UKD4,61.71261
UKD6,45.79707
UKD7,54.86817
UKE1,40.11449
UKE2,47.89445
UKE3,40.00191
RO41,49.112255
RO42,49.45958
RS11,46.50413
TR41,46.994102
TR42,60.776215
TR51,35.038506
TR52,37.685898
TR61,65.275696
TR62,64.30468
TR63,55.519714
TR71,36.33233
TR72,43.233685
TR81,69.61508
UKK1,43.157406
UKK2,47.991528
UKK3,52.186844
UKK4,50.654648
UKL1,62.23692
UKL2,51.633034
UKM5,53.33385
UKM7,57.603462
UKM8,69.0164
UKM9,60.838535
UKN0,53.72104
SE21,39.993504
SE22,41.126293
SE23,49.76355
SE31,47.023956
SE32,48.036697
SE33,47.316795
SI03,82.77013
SI04,112.93703
SK01,45.91656
SK02,46.91514
SK03,51.617996
SK04,48.607635
TR10,66.14973
TR21,63.849632
UKE4,45.39528
UKF1,40.397194
UKF2,36.84947
UKF3,38.664032
UKG1,39.943806
UKG2,42.176586
UKG3,38.172405
UKH1,39.174717
UKH2,36.38132
UKH3,37.326134
UKI3,36.704964
UKI4,36.704964
UKI5,36.029396
UKI6,38.50281
UKI7,36.790817
UKJ1,38.99931
UKJ2,48.122734
UKJ3,47.539776
UKJ4,43.074608
NO09,84.46167
NO0A,112.78653
NO0B,44.086647
HR05,67.76553
HR06,66.06013
NO02,55.79757
NO06,73.19443
NO07,59.281807
NO08,63.884926
