nuts,Summer Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP4.5 - (2071 - 2100)
RS12,51.45902
RS21,54.92196
RS22,50.05175
SE11,48.8029
SE12,51.60848
NL33,48.886284
NL34,47.665222
NL41,46.679886
NL42,46.881817
PL21,71.94668
UKM6,53.53981
TR22,23.643631
TRC2,7.4875975
TRC3,6.071075
UKC1,45.099174
UKC2,46.0017
UKD1,54.941147
UKD3,50.12614
UKD4,53.468777
UKD6,47.063763
UKD7,51.05923
UKE1,40.512714
UKE2,44.363388
UKE3,44.17555
RO41,67.45227
RO42,64.682976
RS11,56.11143
TR41,26.868513
TR42,41.53837
TR51,21.273603
TR52,17.240347
TR61,20.259787
TR62,26.506954
TR63,17.51139
TR71,21.038088
TR72,25.532204
TR81,53.28617
UKK1,43.454914
UKK2,45.367783
UKK3,48.34665
UKK4,47.624683
UKL1,52.862278
UKL2,49.30413
UKM5,46.712524
UKM7,51.711395
UKM8,56.80177
UKM9,51.44504
UKN0,46.07544
SE21,52.639763
SE22,53.29886
SE23,58.876698
SE31,56.072533
SE32,58.77015
SE33,58.331314
SI03,73.97232
SI04,80.90601
SK01,54.58007
SK02,55.319176
SK03,63.63276
SK04,63.68715
TR10,32.591103
TR21,29.8855
UKE4,46.752277
UKF1,44.192535
UKF2,41.712296
UKF3,39.58891
UKG1,43.86988
UKG2,44.599346
UKG3,43.36485
UKH1,40.474003
UKH2,40.07875
UKH3,39.758556
UKI3,41.15885
UKI4,41.15885
UKI5,41.11541
UKI6,41.79317
UKI7,39.064384
UKJ1,41.652126
UKJ2,42.479134
UKJ3,41.841343
UKJ4,41.905083
NO09,72.84353
NO0A,80.044754
NO0B,30.034094
HR05,59.693363
HR06,58.574566
NO02,64.34809
NO06,67.42463
NO07,61.680737
NO08,63.302845
