nuts,Winter Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP4.5 - (2071 - 2100)
DEA5,55.86011
DEB1,46.41255
DEB2,50.247044
DEB3,44.406418
DEC0,55.301506
DED2,37.173042
DED4,41.871635
DED5,35.731773
DEE0,33.345825
DEF0,40.850643
DEG0,40.018368
DK01,34.25556
DK02,33.648388
DK03,39.001564
DK04,38.42984
ES41,52.27163
ES42,44.171898
HU23,39.722977
HU31,33.098434
HU32,35.489197
HU33,35.8314
IE04,57.39892
EE00,30.808176
EL30,56.401684
EL41,79.5718
EL43,58.57396
EL51,66.23574
EL52,63.03285
FI20,29.205225
FR10,39.194195
FRB0,42.88255
FRC1,51.17157
FRC2,76.38871
FRD1,47.49988
FRD2,41.499836
FRE1,43.350292
FRE2,42.25103
FRF1,59.826103
NL13,38.647263
NL21,41.336163
NL22,42.40466
NL23,40.9181
NL31,39.589108
NL32,43.130875
ITG2,52.180447
ITH1,57.66116
ITH2,70.58709
FRI3,51.095337
FRJ1,73.60023
FRJ2,63.01576
FRK1,54.443092
FRK2,74.38449
FRL0,72.06021
FRM0,66.85651
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,81.70605
TR32,82.23156
TR33,50.898148
HR03,91.95565
HR02,51.680244
HU11,33.398857
HU12,34.081104
HU21,36.23687
HU22,36.482857
PT16,82.594666
PT17,62.729294
FRF2,52.0252
FRF3,59.37373
FRG0,46.802578
FRH0,52.045128
FRI1,63.386265
FRI2,61.19712
ITC4,66.21833
ITF1,68.87874
ITF2,66.79101
ITF3,84.90076
ITF4,52.900784
ITF5,61.454227
ITF6,84.33365
ITG1,57.093063
LT01,30.44844
LT02,31.40971
LU00,51.57276
PL22,35.833397
PL41,30.06242
PL42,34.20584
PT18,60.6702
PT20,0.0
PT30,0.0
RO11,42.70436
RO12,36.61309
RO21,32.69909
RO22,37.59168
RO31,39.60523
RO32,36.72062
ITH3,67.48236
ITH4,91.43566
ITH5,62.98948
ITI1,65.62437
ITI2,65.76943
ITI3,57.962753
ITI4,79.977936
LI00,89.37564
FI1D,25.757092
TR82,54.1122
TR83,49.165253
TR90,68.44576
TRA1,54.66748
TRA2,59.082497
PL43,32.756924
PL51,34.940613
PL52,30.150343
PL61,28.381477
PL62,30.493382
PL63,33.352764
PL71,29.24141
PL72,28.579565
PL81,29.008322
PL82,34.833015
PL84,28.556541
PL91,29.318758
PL92,28.44964
PT11,100.26474
PT15,60.980732
TRB1,84.11197
TRB2,96.2435
TRC1,75.28735
RS12,39.73285
RS21,44.84061
RS22,43.367165
SE11,29.640503
SE12,30.684805
NL33,41.210064
NL34,39.922913
NL41,41.334595
NL42,43.084652
PL21,35.81071
UKM6,69.85245
TR22,71.41821
TRC2,69.99097
TRC3,63.52354
UKC1,41.850834
UKC2,42.43045
UKD1,64.38456
UKD3,47.91099
UKD4,57.567806
UKD6,39.247654
UKD7,45.857815
UKE1,33.469498
UKE2,42.966606
UKE3,35.53239
RO41,43.760574
RO42,44.335686
RS11,39.189533
TR41,51.232056
TR42,61.12977
TR51,40.65466
TR52,46.273556
TR61,83.3775
TR62,89.2492
TR63,79.81339
TR71,42.081215
TR72,45.769512
TR81,63.17017
UKK1,38.822067
UKK2,45.509754
UKK3,50.23486
UKK4,49.54677
UKL1,59.379677
UKL2,50.89065
UKM5,48.12843
UKM7,59.728745
UKM8,70.07197
UKM9,57.97891
UKN0,49.307304
SE21,32.195793
SE22,34.231476
SE23,40.226734
SE31,33.82281
SE32,38.110855
SE33,37.79611
SI03,59.688183
SI04,79.77257
SK01,31.860786
SK02,34.936653
SK03,40.532368
SK04,35.33254
TR10,61.950905
TR21,57.767673
UKE4,42.279774
UKF1,35.305508
UKF2,31.478252
UKF3,31.360844
UKG1,35.812794
UKG2,38.029522
UKG3,34.44315
UKH1,32.221718
UKH2,31.596256
UKH3,33.99903
UKI3,34.79436
UKI4,34.79436
UKI5,33.220394
UKI6,35.68498
UKI7,33.329628
UKJ1,33.365295
UKJ2,44.534645
UKJ3,43.08077
UKJ4,40.624672
NO09,77.433716
NO0A,115.27368
NO0B,43.928112
HR05,48.704964
HR06,47.742943
NO02,43.84886
NO06,76.90962
NO07,60.117443
NO08,50.386177
