nuts,Winter Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP8.5 - (2011 - 2040)
FRE1,44.539654
FRE2,42.088337
FRF1,59.370335
NL13,38.56614
NL21,41.303974
NL22,42.535515
NL23,42.359352
NL31,42.139275
NL32,42.872036
ITG2,47.540512
ITH1,56.764503
ITH2,70.476524
FRI3,51.535503
FRJ1,69.20391
FRJ2,61.32977
FRK1,53.03834
FRK2,74.06064
FRL0,65.6869
FRM0,61.17381
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,80.835686
TR32,81.55378
TR33,49.180496
HR03,86.22532
HR02,46.952366
HU11,30.060068
HU12,30.73213
HU21,32.934456
HU22,33.51708
PT16,78.89937
PT17,57.24015
FRF2,52.365814
FRF3,60.53147
FRG0,45.97148
FRH0,49.380722
FRI1,61.728195
FRI2,61.676903
ITC4,65.09824
ITF1,65.46061
ITF2,62.830437
ITF3,80.58643
ITF4,51.699654
ITF5,57.113598
ITF6,75.931244
ITG1,56.852425
LT01,27.378347
LT02,29.266237
LU00,52.31369
PL22,33.187214
PL41,29.796833
PL42,33.21952
PT18,53.233562
PT20,0.0
PT30,0.0
RO11,40.305916
RO12,34.537495
RO21,34.097466
RO22,38.621113
RO31,38.246845
RO32,37.441757
ITH3,68.793884
ITH4,88.19136
ITH5,58.889935
ITI1,62.576416
ITI2,55.958714
ITI3,55.52907
ITI4,72.903496
LI00,85.6336
FI1D,24.232862
TR82,52.316692
TR83,49.812355
TR90,64.75453
TRA1,49.76064
TRA2,56.240345
PL43,31.278948
PL51,33.003395
PL52,28.980085
PL61,26.98027
PL62,29.739515
PL63,31.40459
PL71,29.106554
PL72,27.405138
PL81,26.985237
PL82,31.877048
PL84,27.191105
PL91,28.430586
PL92,27.817102
PT11,98.917206
PT15,53.033188
TRB1,76.47176
TRB2,87.42852
TRC1,77.327774
RS12,34.348423
RS21,41.50699
RS22,40.35471
SE11,27.54068
SE12,29.304024
NL33,43.66388
NL34,40.607956
NL41,41.809006
NL42,43.806377
PL21,32.37325
UKM6,67.905365
TR22,67.47172
TRC2,68.12749
TRC3,61.528343
UKC1,43.071747
UKC2,42.769783
UKD1,61.641674
UKD3,48.09393
UKD4,57.023674
UKD6,40.116993
UKD7,45.24388
UKE1,35.08852
UKE2,43.560013
UKE3,37.041985
RO41,41.31208
RO42,41.190098
RS11,34.12239
TR41,46.18888
TR42,55.852745
TR51,39.673603
TR52,45.491417
TR61,85.30013
TR62,88.2275
TR63,79.66533
TR71,40.45426
TR72,43.381943
TR81,60.458706
UKK1,39.162155
UKK2,43.84978
UKK3,49.035973
UKK4,47.528
UKL1,57.373287
UKL2,49.636948
UKM5,46.6575
UKM7,56.35154
UKM8,65.80468
UKM9,56.145786
UKN0,47.046116
SE21,31.271715
SE22,33.127037
SE23,38.399185
SE31,31.93757
SE32,34.697254
SE33,35.48363
SI03,56.405327
SI04,76.15096
SK01,28.717867
SK02,33.206192
SK03,38.160343
SK04,32.791756
TR10,59.22971
TR21,56.308853
UKE4,42.50447
UKF1,35.544785
UKF2,31.533783
UKF3,31.409765
UKG1,35.61805
UKG2,36.798615
UKG3,33.76959
UKH1,32.265656
UKH2,32.075813
UKH3,32.9661
UKI3,34.470005
UKI4,34.470005
UKI5,32.838398
UKI6,36.283875
UKI7,33.843937
UKJ1,34.4171
UKJ2,43.706726
UKJ3,42.814823
UKJ4,39.30117
NO09,73.34016
NO0A,113.685265
NO0B,42.547413
HR05,47.05148
HR06,44.68616
NO02,40.869564
NO06,72.747925
NO07,59.30118
NO08,47.943752
