nuts,September Fire Weather Index (-) ensemble median - RCP4.5 - (2041 - 2070)
PL51,7.319145067622383
PL52,7.92117964824301
PL61,7.51611848476843
PL62,6.20963926568833
PL63,5.797510572942514
PL71,9.556848490005217
PL72,8.363594533376524
PL81,8.678783551002432
PL82,7.629628206343101
PL84,7.9025744459599405
PL91,8.070732384855557
PL92,7.966396423189098
PT11,26.002172484652927
PT15,36.64208735759954
TRB1,47.65843076323136
TRB2,46.595639505402964
TRC1,51.25980586458752
RS12,16.678694541582274
RS21,14.2183723217478
RS22,17.050340437358727
SE11,5.43362223225233
SE12,5.248754387647675
NL33,8.071370566336704
NL34,9.310696406402565
NL41,9.874563770830488
NL42,10.816681712640879
PL21,5.7516344029194535
UKM6,2.0766686382435853
TR22,33.87841386739654
TRC2,56.95167989397328
TRC3,58.40172067406847
UKC1,5.812001220014131
