nuts,June Fire Weather Index (-) (1981 - 2010)
DE25,6.973365888512928
DE26,7.232733009072999
DE27,4.166656650825062
DE30,11.741340919462736
EL42,23.35329893191448
LV00,7.5799679099471415
ME00,6.92707831089682
MK00,15.382431666337249
MT00,16.887233436633917
NL11,5.987492512779148
NL12,4.895578787755011
EL64,27.04463918220285
EL65,27.373780307315926
ES11,9.89167518943291
ES12,4.720128221051025
ES13,5.899140337904462
ES21,7.084503297388091
ES22,16.820532923117234
ES23,15.770456903481227
ES24,24.992943603493327
ES30,27.983219040587976
IE05,4.800160474157089
IE06,4.972449092993409
IS00,2.762613712659449
ITC3,6.653407246743784
FI19,8.488834443599963
FI1B,9.237665825380063
FI1C,8.577646386350478
DEA1,7.364830824449756
DEA2,6.376396485195018
DEA3,7.983297148422342
DEA4,7.132801543757549
DEA5,6.316697945341493
DEB1,7.128353461573809
DEB2,6.807803305812709
DEB3,8.449264020608586
DEC0,7.48197618779434
DED2,8.228795851398397
DED4,6.369056622864302
DED5,9.336029839356996
DEE0,9.473497501365248
DEF0,7.550752087890811
DEG0,6.654884727927933
DK01,7.76879140422071
DK02,7.460681563693431
DK03,7.9176154403225985
DK04,8.055783119428556
ES41,20.75801902250677
ES42,31.138799625342326
HU23,12.195347368933689
HU31,12.972252380765301
HU32,13.65304506206517
HU33,13.915055231486638
IE04,3.9941939223517604
EE00,7.974341116866066
EL30,31.911411501291436
EL41,25.554558067131055
EL43,31.80603462035226
EL51,16.125064876811937
EL52,17.759322752345877
FI20,5.035581487453979
FR10,9.449364103464434
FRB0,10.928711124027485
FRC1,8.276227692107456
FRC2,6.925304659048282
FRD1,7.683035293332791
FRD2,7.816085987817834
FRE1,6.900514217819301
FRE2,7.364254338205111
FRF1,7.027370292666358
NL13,6.992997708524586
NL21,7.610672571303224
NL22,7.733303725671467
NL23,7.174429411228042
NL31,7.725352196604543
NL32,5.524499625333029
ITG2,24.05465233652745
ITH1,2.3292173588261416
ITH2,2.8345117468764
FRI3,11.93225524205285
FRJ1,17.416819753072954
FRJ2,9.233578112618853
FRK1,7.50662061756234
FRK2,8.7576542378586
FRL0,17.587139686299334
FRM0,13.591624846620359
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,33.51733946558496
TR32,32.69522120674116
TR33,29.054878664898293
HR03,9.622348651652414
HR02,9.87074627787427
HU11,14.503127139460977
HU12,14.224562622935123
HU21,13.13250510462793
HU22,12.055941228842144
PT16,22.392684177421685
PT17,22.018878893435332
FRF2,7.7171823821046095
FRF3,7.393688482566282
FRG0,11.180823684694724
FRH0,7.981939171661829
FRI1,10.179365119274188
FRI2,7.8557744676748955
ITC4,9.515812265991055
ITF1,11.512729333755138
ITF2,16.387720558367505
ITF3,15.239126485200256
ITF4,23.849053705385227
ITF5,23.639831707529066
ITF6,17.933172861243836
ITG1,24.272155286947907
LT01,6.9713925654875455
LT02,7.590182625227072
LU00,6.599764367938829
PL22,6.710462648046193
PL41,11.838303485648735
PL42,9.443018500522975
PT18,30.75536776834502
PT20,0.0
PT30,15.075807874528296
RO11,7.058179297332121
RO12,4.63686006208601
RO21,9.553940170271257
RO22,14.495916641836965
RO31,11.426155775367448
RO32,11.362973382970667
ITH3,7.680082363257669
ITH4,5.167303261630557
ITH5,13.283380815416274
ITI1,13.021364277509221
ITI2,15.596577941874166
ITI3,13.29701243746779
ITI4,14.253348484332552
LI00,1.8547150853333543
FI1D,6.92216209739454
TR82,13.039129303846288
TR83,13.697653140702501
TR90,4.386994449993556
TRA1,12.381101963363868
TRA2,12.090141517160886
PL43,12.532574230927928
PL51,9.410914429880865
PL52,8.764239853797326
PL61,9.937689206793499
PL62,7.9382831488745245
PL63,8.44606606711492
PL71,9.982326933798854
PL72,7.729827704120991
PL81,7.97738662321572
PL82,5.710925920033105
PL84,8.03484775099429
PL91,8.887251399744322
PL92,8.703231175900713
PT11,17.23651066396379
PT15,26.779604098323215
TRB1,30.369877572126605
TRB2,22.24495830903923
TRC1,44.60445168174734
RS12,13.771966284125513
RS21,9.027222498542844
RS22,10.97722688543459
SE11,7.822196601077282
SE12,9.753092729832536
NL33,6.67308562254791
NL34,7.007336874433568
NL41,7.791737847177307
NL42,7.4271313802913825
PL21,4.7912946596380115
UKM6,2.7017319883592057
TR22,24.31565173573485
TRC2,51.71963949182236
TRC3,43.43007137274091
