nuts,Annual Fire Weather Index (-) ensemble median - RCP4.5 - (2071 - 2100)
TRA2,7.3260192022448205
PL43,7.888711317224655
PL51,6.933729722038084
PL52,7.160544466478118
PL61,6.60411274002176
PL62,5.563079325626354
PL63,5.073930966300534
PL71,7.951310802300311
PL72,6.815123241930537
PL81,6.698563649355223
PL82,5.422894527284354
PL84,6.461126912340598
PL91,7.134510751698727
PL92,6.940501870378919
PT11,16.160287094967988
PT15,26.75713636495139
TRB1,30.244942343539773
TRB2,27.414334301350536
TRC1,35.27386253551558
RS12,12.612871871993093
RS21,10.522772586640532
RS22,12.36236536698293
SE11,5.665474662243793
SE12,5.405753838911917
NL33,5.622313936782356
NL34,5.919962066381599
NL41,6.472425313276764
NL42,6.429745678412571
PL21,4.806853048595992
UKM6,1.9947391941861499
TR22,24.425363611176167
TRC2,39.27743552104456
TRC3,39.8458650595138
