nuts,January Fire Weather Index (-) (1981 - 2010)
ITH4,0.9911410381122723
ITH5,1.285596886075368
ITI1,2.050166825670821
ITI2,0.9727093667982711
ITI3,1.3229316946280056
ITI4,1.4726970309019685
LI00,0.18990048543169072
FI1D,0.12211374905205506
TR82,0.9109543814329317
TR83,1.1459164588838882
TR90,0.508186658289234
TRA1,0.2716143165230849
TRA2,0.9830317754864092
PL43,0.3931325568865886
PL51,0.4557774352066235
PL52,0.48988158902109213
PL61,0.3341670823061493
PL62,0.2144720200812525
PL63,0.34265552270810407
PL71,0.4139999548097456
PL72,0.48389678267309266
PL81,0.34811555452029036
PL82,0.33246966590408505
PL84,0.23501344184183248
PL91,0.31320820700689195
PL92,0.32038154978941213
PT11,1.388278386738213
PT15,6.221543225247143
TRB1,0.8047550245730335
TRB2,0.6141509797039888
