nuts,November Fire Weather Index (-) ensemble median - RCP8.5 - (2041 - 2070)
LI00,1.1468741072221882
FI1D,0.06971999470042664
TR82,7.4123897231727645
TR83,8.281506711223685
TR90,4.671281082073392
TRA1,7.449151518844688
TRA2,3.6578190345056365
PL43,1.6263030395096876
PL51,1.914596037213105
PL52,2.2757603395570873
PL61,1.648622070386302
PL62,1.0425117774669552
PL63,1.4335961713328316
PL71,2.2088133534964687
PL72,2.0692456650681312
PL81,1.9025143168963228
PL82,1.955233100898488
PL84,1.2860696212704643
PL91,1.6012207128280274
PL92,1.6557047204199558
PT11,5.107538293779806
PT15,14.633892631644537
TRB1,11.24078357298277
TRB2,8.337425623057214
TRC1,16.80842103300851
RS12,5.477522180048898
RS21,3.974685683778118
RS22,5.1970202341754606
SE11,0.9294449576754124
SE12,0.678800877170699
NL33,1.3891265649871904
