nuts,Summer Fire Weather Index (-) (1981 - 2010)
PL43,12.886882325631841
PL51,10.173659462795237
PL52,10.006337017129933
PL61,10.521086703357525
PL62,8.431031980942594
PL63,8.554193571609872
PL71,11.113984490596813
PL72,9.096272494689705
PL81,9.06413396489077
PL82,6.716427480797837
PL84,9.063682774489566
PL91,9.76298138617705
PL92,9.68582705695432
PT11,22.78761790466605
PT15,31.999383900908498
TRB1,41.36790874788849
TRB2,32.70463545826055
TRC1,51.5778489087892
RS12,16.96747651535598
RS21,12.786246428311834
RS22,15.382192506923307
SE11,7.586331070706317
SE12,9.016894252328688
NL33,7.401644785531539
NL34,7.910220206748514
NL41,8.783180102160351
NL42,8.622530327911623
PL21,5.9079921268614015
UKM6,2.381135733979436
TR22,32.684032060374214
TRC2,57.81991450719443
TRC3,51.607050582398
UKC1,6.388196339554813
