nuts,Summer Fire Weather Index (-) ensemble median - RCP8.5 - (2071 - 2100)
DE25,15.943368177974268
DE26,16.3650095232837
DE27,11.254214032766665
DE30,15.11367343092216
EL42,37.74945503194526
LV00,9.12439672265851
ME00,20.4698887579562
MK00,29.333913081138714
MT00,0.0
NL11,8.085545314991727
NL12,7.606546219850043
EL64,41.74088139816873
EL65,46.15179886000066
ES11,24.313382555325465
ES12,13.05521238987578
ES13,13.060291100609312
ES21,17.219093510591122
ES22,28.753270686063995
ES23,30.023660587357345
ES24,39.36456789976915
ES30,45.90847596177048
IE05,5.497016407371863
IE06,5.556867384413311
IS00,4.516175479844649
ITC3,17.783802009113266
FI19,7.948198571773747
FI1B,10.478044449090602
FI1C,9.583091783923315
DEA1,11.777525402774272
DEA2,12.66671859992455
DEA3,11.143910971560523
DEA4,10.938774867129638
DEA5,11.722733257378124
DEB1,15.515903287792476
DEB2,16.28412087981335
DEB3,18.611893023634472
DEC0,18.372620208390217
DED2,12.548094924397084
DED4,11.337531642270415
DED5,14.15239799335583
DEE0,13.126373764161782
DEF0,10.400116163647539
DEG0,13.488571231812445
DK01,11.689518047770651
DK02,11.462846877155906
DK03,9.11764037474977
DK04,8.666845383987129
ES41,36.24020970748833
ES42,49.06312969667778
HU23,22.239164019506692
HU31,21.35045495528431
HU32,22.737286420544393
HU33,23.7244340301962
IE04,4.099394930658625
EE00,7.970438455027093
EL30,56.30973120182772
EL41,48.53563139544493
EL43,51.15729979306305
EL51,31.430261032191527
EL52,29.83743341513483
FI20,8.480536762699405
FR10,20.99524394732651
FRB0,22.52668930960561
FRC1,20.03098265906171
FRC2,18.702455482298454
FRD1,15.760686524632462
FRD2,15.879118627094304
FRE1,15.219934754485127
FRE2,17.38998184504173
FRF1,17.593752756891316
NL13,8.939931243807582
NL21,10.507475642122174
NL22,11.285377732489255
NL23,10.029031612840594
NL31,10.903314919033035
NL32,9.357420571903564
ITG2,42.05614990228212
ITH1,9.08692435173815
ITH2,9.891463299936651
FRI3,23.73798328938966
FRJ1,32.884738510058654
FRJ2,22.726205830977527
FRK1,19.201745830180165
FRK2,21.295192689740734
FRL0,31.995248432470657
FRM0,26.36559554916372
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,53.64085758641902
TR32,50.38281720206896
TR33,47.280922288806835
HR03,24.356571796542863
HR02,20.769006943037983
HU11,22.86727878291741
HU12,23.224637684639088
HU21,22.310512586906107
HU22,20.64352892526984
PT16,38.47699230482491
PT17,37.25642618462338
FRF2,19.652147097030497
FRF3,19.181774167679468
FRG0,21.369444474868768
FRH0,17.205895388276055
FRI1,20.289986030198662
FRI2,18.604446998663207
ITC4,17.468360463329716
ITF1,27.221427871643183
ITF2,33.70190018124007
ITF3,34.99547901476064
ITF4,44.027451354483134
ITF5,40.85110723866811
ITF6,32.68074095748984
ITG1,42.922167731121185
LT01,11.611761761169662
LT02,10.26122123443113
LU00,16.364063952503667
PL22,13.854163898704567
PL41,15.022195410579123
PL42,11.345901556950995
PT18,42.440513743808886
PT20,0.0
PT30,0.0
RO11,15.326993141706174
RO12,12.496726467423164
RO21,17.47615233351075
RO22,24.889009934309513
RO31,20.706756168019993
RO32,19.57102057018275
ITH3,16.5101352632132
ITH4,13.778340933183358
ITH5,24.08250753830844
ITI1,26.542453166829755
ITI2,31.761358781941436
ITI3,29.228523944214135
ITI4,30.427412152062537
LI00,8.150150680638204
FI1D,4.973854801324733
TR82,31.235619446324502
TR83,33.46748655674963
TR90,20.101690204880132
TRA1,39.182209715005804
TRA2,21.975212946399616
PL43,15.078579438442148
PL51,14.158509220303346
PL52,15.018926524733454
PL61,12.474397702158955
PL62,10.30522902855258
PL63,9.183385763980121
PL71,15.233316766998644
PL72,13.834709291323144
PL81,13.358299343863242
PL82,12.199456083351704
PL84,12.843225848507391
PL91,13.25846423807349
PL92,13.119496836083618
PT11,31.81663972627372
PT15,43.33633392640073
TRB1,54.582084041509475
TRB2,56.80340184811362
TRC1,57.69298191735903
RS12,24.602081818092316
RS21,21.822243424254058
RS22,25.19220265839595
SE11,8.862385279298273
SE12,8.492063234674808
NL33,10.216280112132898
NL34,12.490264961562838
NL41,12.493697278023221
NL42,12.994117719607132
PL21,11.36420040646513
UKM6,2.6766031453348504
TR22,45.802207123649175
TRC2,63.9345920733388
TRC3,65.18903577769107
UKC1,7.031121344180168
UKC2,6.130514030387523
