nuts,Winter Fire Weather Index (-) (1981 - 2010)
ITH5,1.7899014098790316
ITI1,2.3047479495577505
ITI2,1.363201994582644
ITI3,1.6666350105455887
ITI4,1.689308539336845
LI00,0.2958796742050621
FI1D,0.132704076316866
TR82,1.4041386659136224
TR83,1.7178954058396043
TR90,0.7506192006390554
TRA1,0.9008762540987474
TRA2,1.5594043890342784
PL43,0.5485723336729577
PL51,0.6163503755992294
PL52,0.6945203081285859
PL61,0.4851870016470054
PL62,0.3006342791848254
PL63,0.4366770971975084
PL71,0.6375950175622686
PL72,0.6767580829671045
PL81,0.5032653431931758
PL82,0.5280910497194424
PL84,0.3327932808120428
PL91,0.4426063708255488
PL92,0.4612685177245888
PT11,1.9204574100340412
PT15,6.2864121207690395
TRB1,1.8043319814805632
TRB2,1.568939727571667
TRC1,3.6556845512632092
