nuts,May Fire Weather Index (-) ensemble median - RCP4.5 - (2041 - 2070)
DE25,6.729149251843115
DE26,7.0486309108020775
DE27,4.424244639363865
DE30,9.791465668401724
EL42,22.26929728876942
LV00,8.34504622852592
ME00,6.222098305870923
MK00,12.408625667681529
MT00,0.0
NL11,7.297996086696229
NL12,6.946300052554945
EL64,20.67163176848003
EL65,21.469631131805137
ES11,6.4530373445715545
ES12,3.1847247952442546
ES13,3.999980539985249
ES21,5.650093910876472
ES22,13.439592365547398
ES23,11.521574975983542
ES24,22.100356247343523
ES30,21.306802509971252
IE05,4.355192486718961
IE06,4.5219497812650165
IS00,2.0638384835693375
ITC3,5.084108427303751
FI19,6.865606743094448
FI1B,8.72782600584103
FI1C,7.953908737738207
DEA1,7.309082871099436
DEA2,6.292122089024687
DEA3,8.002679144758824
DEA4,7.126714755112368
DEA5,6.78297088228615
DEB1,6.944673378521392
DEB2,6.030393378832755
DEB3,8.441663628337606
DEC0,7.3803357871284145
DED2,7.318098546038284
DED4,5.801456515001329
DED5,8.378581847454901
DEE0,8.581695964522677
DEF0,7.830925510689517
DEG0,6.219176601684123
DK01,8.596568834671444
DK02,7.477126535328429
DK03,7.816756199575765
DK04,7.163642406405175
ES41,15.477381022526183
ES42,24.929917170183487
HU23,10.279294830398905
HU31,12.603062114658925
HU32,12.684824537692986
HU33,12.424916173725226
IE04,3.9108724786040994
EE00,7.835168060883797
EL30,31.42136266374839
EL41,22.648416955387436
EL43,31.52076126217254
EL51,14.69144378467863
EL52,14.213057746272028
FI20,5.636139139593145
FR10,8.352659246840126
FRB0,8.492142502890678
FRC1,6.566475573774147
FRC2,5.60511216483166
FRD1,7.645877930573817
FRD2,7.662799545282924
FRE1,6.949436347313692
FRE2,7.01131761801863
FRF1,6.69828355423327
NL13,7.903040148984834
NL21,8.286362856098327
NL22,8.17541561364775
NL23,8.00151662558468
NL31,8.125966629426616
NL32,7.472775958887799
ITG2,17.804308158759117
ITH1,1.8829503730888475
ITH2,2.765358588837237
FRI3,8.694618789846592
FRJ1,12.831355306715976
FRJ2,6.6794576334462405
FRK1,5.619475316753075
FRK2,6.254236171571501
FRL0,12.37214153863118
FRM0,9.837019811052011
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,26.886309038986376
TR32,28.48186347946447
TR33,25.854017303208973
HR03,7.062716495120811
HR02,7.944077871842648
HU11,11.77790200345237
HU12,12.0804899964749
HU21,10.835416769008017
HU22,10.660180539209069
PT16,17.834063497649407
PT17,22.737882525033072
FRF2,6.741084149282069
FRF3,6.554756885682516
FRG0,8.42500978888524
FRH0,7.292219535971114
FRI1,7.392178328952796
FRI2,5.745677381965884
ITC4,7.70096538407981
ITF1,8.499018546224558
ITF2,12.011291865574563
ITF3,11.92778164031331
ITF4,20.959473390491464
ITF5,17.36276225233223
ITF6,13.07751320895686
ITG1,24.6450747469082
LT01,7.531842885322337
LT02,8.073440891757107
LU00,6.199833044497325
PL22,7.211004809779012
PL41,10.312482670749132
PL42,8.690144434265612
PT18,25.30337060482195
PT20,0.0
PT30,0.0
RO11,7.050517453204616
RO12,5.570022208277433
RO21,9.919712677506023
RO22,14.540828962417681
RO31,12.988183795515011
RO32,14.086782068173173
ITH3,6.3292558915033155
ITH4,4.391500497197577
ITH5,9.705159076551737
ITI1,9.47894606536904
ITI2,11.431844561084816
ITI3,9.670594331824237
ITI4,10.172617125319034
LI00,2.121914332641994
FI1D,4.746211052532962
TR82,13.160857938766139
TR83,13.15991054437829
TR90,5.105257188279556
TRA1,9.927093315802942
TRA2,4.93531847183757
PL43,10.327385240527024
PL51,8.031708307706424
PL52,8.12261687291823
PL61,9.047799519444341
PL62,7.900990608750444
PL63,7.98531269130453
PL71,9.29707520552154
PL72,8.121749225264113
PL81,8.265668163080901
PL82,6.808203856953639
PL84,8.229786770118546
PL91,9.18636084857174
PL92,8.783784291147583
PT11,12.190281309970189
PT15,28.01123405119069
TRB1,21.21240505153938
TRB2,12.704025912774064
TRC1,31.00545837338132
RS12,12.407771111728497
RS21,8.717783989350815
RS22,10.662207006639846
SE11,8.062046700875554
SE12,8.011760564480257
NL33,7.585970154349321
NL34,7.630264632588982
NL41,7.878514123436624
NL42,7.28092562424215
PL21,5.760532816108846
UKM6,2.955458690498278
TR22,21.863997851261217
TRC2,36.9866394223814
TRC3,37.99666987571571
