nuts,December Fire Weather Index (-) ensemble median - RCP4.5 - (2041 - 2070)
ITI1,1.5646865388001738
ITI2,1.29168202982004
ITI3,1.4611528521426824
ITI4,1.5945859124727353
LI00,0.5169745417168653
FI1D,0.06795066616936707
TR82,2.764207289884637
TR83,3.008053368678516
TR90,1.4807635659731229
TRA1,2.644121179331943
TRA2,1.314071958095895
PL43,0.50004432550906
PL51,0.6947293750858505
PL52,0.6874768874694627
PL61,0.48683209702825875
PL62,0.25606197635810685
PL63,0.32259065373455514
PL71,0.604013326139662
PL72,0.6328713380265076
PL81,0.5791748478296787
PL82,0.6905389940817009
PL84,0.23472415420535983
PL91,0.39592545109416594
PL92,0.43426203323407864
PT11,1.9437186133734696
PT15,9.861066723825035
TRB1,4.004466656006453
TRB2,2.58373416813792
TRC1,6.570441787542699
RS12,1.3928231152760044
RS21,1.1652479859926317
