nuts,March Fire Weather Index (-) ensemble median - RCP8.5 - (2041 - 2070)
TR82,4.191767331940946
TR83,4.368640925643127
TR90,1.8357648952915282
TRA1,2.1746502955318525
TRA2,0.25756374075192306
PL43,2.396222780736157
PL51,2.507926486667758
PL52,2.7633264367383688
PL61,2.4165209312150124
PL62,1.8299035955687948
PL63,2.0855299476304947
PL71,2.652516768335014
PL72,2.62454807498203
PL81,2.2090926031670546
PL82,2.1240177881290605
PL84,1.8667370773711705
PL91,2.083316924106882
PL92,2.1503515021097237
PT11,7.329148050346949
PT15,16.627156211242873
TRB1,5.415789689296603
TRB2,3.339233952254291
TRC1,7.627418414364146
RS12,5.658202873595112
RS21,4.120078477903521
RS22,5.126121486299119
SE11,2.3100233835803436
SE12,2.0258393476382857
NL33,1.6755827807331458
NL34,1.9321046043269983
NL41,1.8565538412534175
NL42,1.785224125493012
PL21,2.2817221833520147
UKM6,0.8467466322225567
TR22,5.578378000380648
TRC2,9.816065558457833
TRC3,9.829293061640183
UKC1,1.898481815994914
UKC2,1.7087521353531028
UKD1,0.854932118602642
UKD3,1.1974311738881764
UKD4,0.9199795955077348
UKD6,1.3693283246493133
UKD7,1.3343503064888838
UKE1,3.438810039535338
UKE2,2.4198335838746523
UKE3,2.766068556839233
RO41,6.445584081886943
RO42,3.8517448899536055
RS11,5.454538669386071
TR41,6.351167793078099
TR42,3.1847753271474404
TR51,7.5973985402245505
TR52,10.951452285570365
TR61,6.1222527374136835
TR62,6.7593480170977465
TR63,6.875622512027776
TR71,9.093884508736442
TR72,6.807757679141369
TR81,2.6591875624941315
UKK1,2.321885787132164
UKK2,2.1012247336022303
UKK3,1.6141736544607068
UKK4,1.7737246321541138
UKL1,0.9494605612281983
UKL2,1.2591402201449235
UKM5,1.267876460664561
UKM7,0.9314098656173844
UKM8,0.8654737559708681
UKM9,1.077560005160741
UKN0,0.9226874309079088
SE21,2.284559691353914
SE22,1.7201993097049713
SE23,1.668532273350677
SE31,1.5092843710400794
SE32,0.35775885459046036
SE33,0.22002646772189696
SI03,3.9485005091165033
SI04,2.922683637746459
SK01,5.258308349544266
SK02,4.872622379315247
SK03,3.4020680360369995
SK04,2.660671842916015
TR10,3.685845821847092
TR21,5.78312527637154
UKE4,2.1992728017342547
UKF1,2.707062034786054
UKF2,2.836534790209388
UKF3,3.4228268847790466
UKG1,2.22341697050676
UKG2,1.8040054469001225
UKG3,2.24038451798178
UKH1,3.2471591806256113
UKH2,3.0505700105440607
UKH3,3.193710974200862
UKI3,3.226471474719248
UKI4,3.2498948168974193
UKI5,3.1831824035689547
UKI6,2.959151665122029
UKI7,3.036099178176212
UKJ1,2.67151994492188
UKJ2,2.807430888844609
UKJ3,2.6087741089067813
UKJ4,2.8220683106010593
NO09,1.0848034404180553
NO0A,0.3360575468164814
NO0B,0.0
HR05,3.8371265627639604
HR06,4.365426891626381
NO02,0.736475703972826
NO06,0.34399358347842135
NO07,0.17362600115286836
NO08,1.2448089348493252
