nuts,April Fire Weather Index (-) ensemble median - RCP4.5 - (2011 - 2040)
RO31,8.008397382986551
RO32,8.444271418677024
ITH3,5.373394176666098
ITH4,4.4698089259824645
ITH5,6.6533498792188
ITI1,5.61632074035847
ITI2,6.156225817582846
ITI3,5.251888114818487
ITI4,5.402511156498309
LI00,2.639022929954236
FI1D,1.763963889681422
TR82,7.3127688642139415
TR83,7.601555440280596
TR90,2.5843450245527246
TRA1,4.00859160054697
TRA2,0.8510439963365891
PL43,6.926076587316733
PL51,6.154687169388908
PL52,6.779967258497864
PL61,6.167981680159532
PL62,5.029717793645168
PL63,4.974798209560721
PL71,6.910501089196406
PL72,6.013399830640217
PL81,5.5924419527049505
PL82,4.754302452905946
PL84,5.287216089043488
PL91,6.014150194106478
PL92,5.839724477775666
PT11,8.674930311904438
PT15,18.854522404907446
TRB1,9.088974688786795
TRB2,4.053189186790823
TRC1,15.60676203702936
RS12,10.49053140899344
RS21,6.292776311404601
RS22,6.973200957814897
SE11,4.461822952238291
SE12,4.688643587616488
NL33,5.388033492361568
NL34,5.492336074578828
NL41,6.069257569230635
NL42,5.53110640093572
PL21,4.924476146727104
UKM6,1.5768755411979893
TR22,9.45397498393536
TRC2,19.743983560784127
TRC3,19.30723425095534
UKC1,3.4920816214093278
UKC2,3.1857409338741545
UKD1,2.445047063820655
UKD3,3.314361868453693
UKD4,2.8694252619945853
UKD6,3.4892375873547574
UKD7,3.4390843892799645
UKE1,4.780855384451174
UKE2,3.9457016900402704
UKE3,4.696896403260513
RO41,7.87789741954091
RO42,6.89668039848092
RS11,9.493992217767497
TR41,12.439100996608257
TR42,5.842146153154139
TR51,15.025636579119974
TR52,18.010445692099594
TR61,10.343685756596141
TR62,10.475346708003357
TR63,11.823554008879979
TR71,16.022197088351582
TR72,10.167245742992774
TR81,4.433065218211542
UKK1,4.999491988975382
UKK2,4.507135514483101
UKK3,4.047060228631074
UKK4,3.899712846434916
UKL1,3.0342219856148467
UKL2,3.3062741155704396
UKM5,2.050461284252131
UKM7,2.317823274608011
UKM8,2.3117963437439495
UKM9,2.5458468048926397
UKN0,2.446675347653891
SE21,5.327293398780916
SE22,5.042245680007953
SE23,4.613370139933344
SE31,3.5659317223101805
SE32,2.051489300630475
SE33,1.4659784967367349
SI03,5.6963780894497384
SI04,4.8649862919383695
SK01,9.369968189210113
SK02,8.34623884570524
SK03,5.427197643986696
SK04,5.507076684785397
TR10,7.114049090957067
TR21,9.41090650960216
UKE4,3.895380397036179
UKF1,4.65401202532083
UKF2,5.236143466692654
UKF3,5.330627545265146
UKG1,4.649854291609627
UKG2,3.950258254487527
UKG3,4.718356308952155
UKH1,5.372239565466879
UKH2,5.652134727859504
UKH3,5.506809652717893
UKI3,5.592418234407876
UKI4,5.640073922516535
UKI5,5.552257850792228
UKI6,5.218511791086826
UKI7,5.474609992512958
UKJ1,5.226836994722169
UKJ2,5.2736009483184825
UKJ3,5.20396866669183
UKJ4,4.902680706524648
NO09,2.9771766209217
NO0A,1.226365700250307
NO0B,0.0
HR05,6.4230925422304335
HR06,6.707027605066967
NO02,2.5848770747734124
NO06,1.3629686907896008
NO07,0.3762273931343199
NO08,3.365624545131593
