nuts,May Fire Weather Index (-) (1981 - 2010)
TRA2,5.112648809815524
PL43,10.710961293603155
PL51,8.621739336444767
PL52,8.598181147800718
PL61,9.332337728097224
PL62,8.197628070433812
PL63,7.862841065232147
PL71,9.598980604810711
PL72,8.260468407145106
PL81,8.716323934870768
PL82,6.43642138720176
PL84,8.779065338562125
PL91,9.464223526058396
PL92,9.231995792266938
PT11,9.863519152816853
PT15,18.35664527115396
TRB1,12.460492951775807
TRB2,7.515763176599693
TRC1,23.46772924749826
RS12,13.274243514609667
RS21,8.095297133539933
RS22,8.898302333194428
SE11,6.689619258424287
SE12,8.511332021054475
NL33,6.606467738166075
NL34,6.440838756187534
NL41,7.592080064796392
NL42,7.263540957642489
PL21,5.602854712537078
UKM6,2.6993222297339576
TR22,14.706128756945997
TRC2,28.593762856104377
