nuts,Autumn Fire Weather Index (-) ensemble median - RCP4.5 - (2011 - 2040)
TR90,9.467762964411362
TRA1,20.036870094363692
TRA2,7.930273919494616
PL43,5.8967400469459905
PL51,4.780964256481609
PL52,5.605825304995109
PL61,5.119723173568032
PL62,4.027718627605655
PL63,4.164770222193537
PL71,6.004496304946362
PL72,5.111876902442454
PL81,5.084898984606725
PL82,4.464792351605699
PL84,4.508942839155899
PL91,4.945477731036386
PL92,5.042170615264719
PT11,14.417857548862127
PT15,25.46409324218144
TRB1,31.58464178698887
TRB2,28.037917971231
TRC1,36.11122836687643
RS12,12.490706449884286
RS21,9.192938522320178
RS22,11.251456497745462
SE11,3.539414179908118
SE12,3.424427425458447
NL33,3.8078785550896916
NL34,4.7068196589562765
NL41,4.350171095027076
NL42,4.449633008218672
PL21,4.009221871052837
UKM6,1.2846226588639842
TR22,23.036302034521025
