nuts,August Fire Weather Index (-) ensemble median - RCP4.5 - (2071 - 2100)
PL51,12.745999394903196
PL52,13.365205916505166
PL61,12.071478729094453
PL62,10.063521679225087
PL63,9.445950909466335
PL71,13.655285899582951
PL72,12.500441784782371
PL81,11.779714984157525
PL82,9.40843885129774
PL84,11.781740416940211
PL91,12.442710037109302
PL92,12.417566515757297
PT11,31.519310668284884
PT15,44.12709348644985
TRB1,52.30925028184288
TRB2,48.38354743128975
TRC1,57.42568288769424
RS12,21.21837568589513
RS21,18.658471646879963
RS22,21.419922794741492
SE11,6.921649632675789
SE12,6.61124572765578
NL33,10.280366492910858
NL34,10.84374273206346
NL41,12.057311830177236
NL42,12.603772071024725
PL21,9.056591292790257
UKM6,2.0659866574181542
TR22,41.81962194048106
TRC2,62.72057586395908
TRC3,63.319522303841694
UKC1,5.702923656360278
UKC2,4.57363031385822
