nuts,Annual Fire Weather Index (-) (1981 - 2010)
TR32,23.20109075862583
TR33,21.695007758937194
HR03,8.218021296047116
HR02,7.799897826726014
HU11,10.35515283739355
HU12,10.262356315594268
HU21,9.47945829543826
HU22,8.837401482092433
PT16,17.093478194722444
PT17,16.36888746821369
FRF2,5.716068366748197
FRF3,5.434115062245041
FRG0,7.9603196416854365
FRH0,5.749593374244268
FRI1,7.387138322400377
FRI2,5.892406961234437
ITC4,6.692800821636878
ITF1,9.068361935201754
ITF2,11.914563321343792
ITF3,11.446445606451373
ITF4,16.470232559039694
ITF5,16.35750890888133
ITF6,12.410888024111113
ITG1,16.554597416514504
LT01,4.912125790645574
LT02,5.05843972339121
LU00,4.791151784376961
PL22,5.293746488299569
PL41,7.418652924119373
PL42,5.794936471894914
PT18,22.486725871621868
PT20,0.0
PT30,12.486119690104266
RO11,5.39383011410205
RO12,3.7848215215187446
RO21,6.840407652122386
RO22,11.116534647878126
RO31,9.390492085870385
RO32,9.471346976458303
ITH3,5.813234542647723
ITH4,4.3837339871395615
ITH5,9.375740814476728
ITI1,10.067362095894532
ITI2,12.128303855916213
ITI3,10.107764974514483
ITI4,11.103499227373007
LI00,1.4197708990484728
FI1D,3.2099156175795867
TR82,12.375838856415731
TR83,13.381109434990028
TR90,5.095720665585007
TRA1,12.277849494270866
TRA2,11.021665266820952
PL43,7.681612765661078
PL51,6.277143483713261
PL52,6.3519402592745
PL61,6.505134666745047
PL62,5.224983163643269
PL63,5.24978430607076
PL71,6.977663056310602
PL72,5.8546551567423855
PL81,5.803446065593686
PL82,4.446744193466486
PL84,5.634278966227686
PL91,6.153591333502611
PL92,6.100048999945124
PT11,13.291877975257416
PT15,20.02407822010534
TRB1,24.11679985300968
TRB2,19.497391821791417
TRC1,30.443444354153453
RS12,10.67689858933983
RS21,7.771888903322266
RS22,9.293062840920369
SE11,4.556324747693721
SE12,5.3369757404781195
NL33,4.594587559397688
NL34,4.880213959492499
NL41,5.390991477343315
NL42,5.271348325537574
PL21,3.9442120320013645
UKM6,1.7424445828980692
TR22,19.28790461229259
TRC2,34.25117035166302
TRC3,30.281850966507324
UKC1,4.0507624126453985
UKC2,3.436235048854882
UKD1,2.3297204885738605
UKD3,3.3324195510195485
UKD4,2.712701002878706
UKD6,3.761784560256789
UKD7,3.127633692209441
UKE1,5.286941659285648
UKE2,4.244057475981789
UKE3,5.683319187873881
RO41,9.706779762644379
RO42,7.043095130414355
RS11,10.132532211741548
TR41,18.157588742167853
TR42,10.549152787431671
TR51,22.344227726684444
TR52,24.97095975417867
TR61,19.756059531199273
TR62,18.843720690431237
TR63,23.835759987091357
TR71,24.768941555756765
TR72,20.625634731390456
TR81,7.508104854492013
UKK1,5.661569206542607
UKK2,4.861754341003653
UKK3,4.073506912867613
UKK4,4.008676779842934
UKL1,3.0398568045053818
UKL2,3.7415163682279013
UKM5,2.363031491311774
UKM7,2.529175323714922
UKM8,2.3083003372701882
UKM9,2.429283787595414
UKN0,2.461780580827354
SE21,5.310093714999164
SE22,5.194188784285871
SE23,4.668041907173625
SE31,4.485972205051861
SE32,3.6478191542321734
SE33,3.157458322804295
SI03,4.8752838770416655
SI04,4.244654297176763
SK01,9.584652364001078
SK02,8.310835466408497
SK03,4.857903214800389
SK04,4.886811137383383
TR10,13.505772763516037
TR21,17.22361414199507
UKE4,4.618436294473635
UKF1,5.721558516088718
UKF2,6.510238615100978
UKF3,6.249263380910988
UKG1,5.64042487916127
UKG2,4.623307400393192
UKG3,5.6067380085326795
UKH1,6.006146826140428
UKH2,6.778660704956104
UKH3,6.240700626219626
UKI3,6.797674871071553
UKI4,6.797674871071553
UKI5,6.667396609862285
UKI6,6.461607160426785
UKI7,6.583959490030821
UKJ1,6.346248635343556
UKJ2,5.773916531828488
UKJ3,5.882183809655834
UKJ4,5.591094548004173
NO09,3.913450790990419
NO0A,1.707960503804847
NO0B,0.6445370397975829
HR05,6.96762640607949
HR06,6.93548501634213
NO02,3.054481944604194
NO06,1.8719051511645186
NO07,1.516212443455099
NO08,4.013300897088071
