nuts,January Fire Weather Index (-) ensemble median - RCP4.5 - (2041 - 2070)
ITH5,1.5411843959396165
ITI1,1.2646311907190444
ITI2,1.078027191484675
ITI3,1.5900815606054113
ITI4,1.3520337183052913
LI00,0.3591321616162187
FI1D,0.07252582954989495
TR82,1.8768545487283834
TR83,2.1629950840489367
TR90,0.8544943296232527
TRA1,0.643060883920025
TRA2,0.0815664614934771
PL43,0.32192618314114485
PL51,0.47642077025681845
PL52,0.5229742441940525
PL61,0.30220367647004354
PL62,0.1766538255649781
PL63,0.25463115470178416
PL71,0.4420487112049222
PL72,0.6252930133889697
PL81,0.444396948562134
PL82,0.47250871490845403
PL84,0.17589711533667238
PL91,0.281541670560356
PL92,0.31889633662656763
PT11,1.251854907549942
PT15,6.746269877139534
TRB1,2.912668614733514
TRB2,0.29612846815310795
TRC1,3.6573711630621375
RS12,0.9750528042158598
