nuts,Spring Fire Weather Index (-) (1981 - 2010)
EL42,11.1155077265315
LV00,5.14104544864411
ME00,3.027518373586793
MK00,6.324423951812348
MT00,10.433507904023436
NL11,4.460793842493094
NL12,3.675631398014881
EL64,11.418212649409835
EL65,11.307663799219895
ES11,4.699682016573816
ES12,2.8833718510570305
ES13,3.39049516591505
ES21,3.730270541685576
ES22,8.781476593225984
ES23,8.092978116372363
ES24,15.484137985355904
ES30,13.15348888542216
IE05,2.961990326243807
IE06,2.9881577708197424
IS00,0.7987789308935593
ITC3,3.8867594655148063
FI19,4.1032310640532925
FI1B,4.685858393057336
FI1C,4.26195330869958
DEA1,5.103506560371453
DEA2,4.228898776989562
DEA3,5.421289633748737
DEA4,4.6808838053572845
DEA5,4.286369185933591
DEB1,4.274891226298678
DEB2,3.9583911016317943
DEB3,4.825969615360083
DEC0,4.265900911114184
DED2,5.255871435109994
DED4,4.365092651885183
DED5,5.9945338323056765
DEE0,5.944257502383362
DEF0,4.393137835221609
DEG0,4.52552325453558
DK01,4.144918598369769
DK02,3.983789615640311
DK03,4.397967842208785
DK04,4.191251840709582
ES41,9.99709398800429
ES42,15.881378306435817
HU23,7.954055640841405
HU31,8.824899925104415
HU32,9.133351543474218
HU33,9.253017762919605
IE04,2.555448451119608
EE00,4.598513985301443
EL30,15.009384486097584
EL41,10.816941352400558
EL43,15.466907032619174
EL51,7.317717533479799
EL52,7.460615319470196
FI20,2.270015310354641
FR10,5.3869997900050395
FRB0,5.69893196384672
FRC1,4.496671871207643
FRC2,3.725260153999181
FRD1,4.309917795347172
FRD2,4.543349158330128
FRE1,4.514336737269757
FRE2,4.672601175603384
FRF1,3.883268790266119
NL13,5.230589485701937
NL21,5.52694134180947
NL22,5.534765074785624
NL23,5.218363839007291
NL31,5.454538924354186
NL32,4.020720634017581
ITG2,10.657772168188338
ITH1,1.0280828344116861
ITH2,1.7102847330806787
FRI3,6.256691028390296
FRJ1,8.909806506514416
FRJ2,4.9160319013896725
FRK1,4.212024082732951
FRK2,4.262120578695371
FRL0,9.064379802388359
FRM0,6.593688200374177
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,11.89729907616658
TR32,12.364931401388331
TR33,11.869673468570582
HR03,4.673254578560312
HR02,6.38030967835272
HU11,9.216296133579052
HU12,9.19575393159612
HU21,8.32951408652563
HU22,8.002710135821824
PT16,10.80078591789355
PT17,11.50681103369136
FRF2,4.368033027808483
FRF3,4.110132318481727
FRG0,5.715187915968745
FRH0,4.462339279797724
FRI1,5.600208402495332
FRI2,4.66299136851439
ITC4,5.378716149240653
ITF1,4.65973831147628
ITF2,6.548777340087622
ITF3,5.4313858929858805
ITF4,10.369107495304286
ITF5,9.511955648561202
ITF6,7.108377465017541
ITG1,11.60482069123886
LT01,4.9921996147589764
LT02,5.2025867324782595
LU00,3.8763633526842143
PL22,5.221816639208668
PL41,6.957286680757762
PL42,5.572760532236044
PT18,15.901584876499895
PT20,0.0
PT30,9.125543151072597
RO11,4.905528716227145
RO12,3.458709794989832
RO21,6.633102624401564
RO22,9.38221634122823
RO31,8.414786485163482
RO32,8.88899277491533
ITH3,4.352976892110834
