nuts,February Fire Weather Index (-) (1981 - 2010)
ITI1,2.894345891744757
ITI2,2.000439069112053
ITI3,2.277987543887202
ITI4,2.125981544547572
LI00,0.41706612062760007
FI1D,0.14921138037730908
TR82,1.1517941664035862
TR83,1.4186711353907506
TR90,0.5422877459160192
TRA1,0.3225102744995806
TRA2,0.908172443416884
PL43,0.7662933328107092
PL51,0.8879399042350425
PL52,0.9949168929680742
PL61,0.678445257270086
PL62,0.4095329602702451
PL63,0.5855240835203587
PL71,0.9443267874914647
PL72,0.9375938017716544
PL81,0.6910887336955076
PL82,0.6602042803030199
PL84,0.4913557578128192
PL91,0.6524207986800417
PL92,0.6738903846892736
PT11,2.6238377183029704
PT15,7.6671256898948235
TRB1,0.7280096514461154
TRB2,0.47049434855159333
TRC1,2.159773954943067
RS12,1.7905472348824591
