nuts,Spring Fire Weather Index (-) ensemble median - RCP8.5 - (2041 - 2070)
TRA2,2.6569588575373655
PL43,7.158694897308218
PL51,6.165964386088185
PL52,6.357955919481697
PL61,6.535489252351599
PL62,5.364098550918453
PL63,5.582754632678408
PL71,6.8524793900836904
PL72,5.964365269455291
PL81,6.417000913046912
PL82,5.109973416399797
PL84,6.035782307450881
PL91,6.4000134398895705
PL92,6.529810275005059
PT11,10.884283769127087
PT15,23.1842129835136
TRB1,15.109630296745596
TRB2,11.071265562241226
TRC1,24.52501292599369
RS12,10.99921901823457
RS21,7.26453875598936
RS22,8.180821315783438
SE11,5.532951513564173
SE12,5.782252942597642
NL33,5.382664145222018
NL34,5.52577436060677
NL41,5.621432691704724
NL42,5.374197697583414
PL21,4.564941657900395
UKM6,2.1744376398953844
TR22,15.153208636914483
TRC2,27.88618093291466
