nuts,October Fire Weather Index (-) ensemble median - RCP8.5 - (2041 - 2070)
DEB2,5.448131803217439
DEB3,6.779343132297182
DEC0,6.183125716116933
DED2,4.305148070374587
DED4,3.8578895812929717
DED5,5.2596150641807
DEE0,5.598342399714585
DEF0,4.453774368378567
DEG0,4.513314625719576
DK01,3.7607525135780904
DK02,4.43098884842747
DK03,3.0385496417112807
DK04,3.1049128333238274
ES41,17.924671957604595
ES42,23.368540313407017
HU23,7.113335531427742
HU31,7.55729049771631
HU32,8.789683760513123
HU33,9.30406383428294
IE04,1.5920987356386835
EE00,2.9559658521990837
EL30,28.617691023535635
EL41,26.135697764171372
EL43,29.98220134149585
EL51,17.84193808493241
EL52,13.863524496767672
FI20,3.3452192739737767
FR10,7.606601314744367
FRB0,7.958500683314887
FRC1,6.495035416725023
FRC2,6.980097497495826
FRD1,5.978005581042849
FRD2,5.966740194984138
FRE1,6.380348059433104
FRE2,6.8674665945522655
FRF1,6.805538588395735
NL13,4.27313496357465
NL21,4.534003752360912
NL22,4.473238917650152
NL23,4.111869452886669
NL31,4.577868576740236
NL32,4.509186288139276
ITG2,15.393101894558999
ITH1,3.02386092140374
ITH2,3.8343954226750308
FRI3,8.941621840798907
FRJ1,10.762455851112975
FRJ2,8.11653291940681
FRK1,7.660750159732609
FRK2,6.408935377234924
FRL0,10.406216261873277
FRM0,8.317466496710106
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,27.516725461137707
TR32,29.813508325076494
TR33,26.482916500706295
HR03,6.496065739784874
HR02,6.37143896490403
HU11,7.6443867743026
HU12,7.741434171475443
HU21,6.679081383920207
HU22,6.412034662899034
PT16,20.95325992008685
PT17,20.11563398789142
FRF2,6.524703652839248
FRF3,6.894745936122496
FRG0,7.950103830800203
FRH0,6.670584976117136
FRI1,8.675614387709722
FRI2,7.230728303028659
ITC4,5.526747066203861
ITF1,6.858915671538805
ITF2,10.566745571989626
ITF3,9.819826684030929
ITF4,15.19242059011939
ITF5,13.57605975805099
ITF6,9.808461082347609
ITG1,15.601949676713096
LT01,3.599691778083084
LT02,3.3653737823398737
LU00,5.64932318604281
PL22,4.638447222124497
PL41,6.331326485346936
PL42,5.263319742728699
PT18,24.02260776082131
PT20,0.0
PT30,0.0
RO11,6.176916111311599
RO12,5.462992066690547
RO21,7.543225425292079
RO22,11.670397294400257
RO31,9.854688406082587
RO32,9.601266754679212
ITH3,5.492292723487817
ITH4,4.433610212688311
ITH5,7.247204297141294
ITI1,7.355020356550113
ITI2,8.313667292958849
ITI3,7.150262464089042
ITI4,7.368609939828225
LI00,2.338235442889641
FI1D,0.5219806803583675
TR82,16.917375766612395
TR83,18.469295429979972
TR90,10.686077685112643
TRA1,20.262542292023745
TRA2,9.468312938700954
PL43,6.2556261530568875
PL51,4.673313390290889
PL52,4.831640318301465
PL61,5.647978918198615
PL62,4.424687935729812
PL63,4.484408901629457
PL71,5.205328719773625
PL72,4.964595463556842
PL81,4.980770956594385
PL82,4.857978600996979
PL84,4.697973326562309
PL91,4.826971098147198
PL92,4.927456000111855
PT11,17.331568110437345
PT15,25.534587899061865
TRB1,29.669933505878465
TRB2,26.161361812641942
TRC1,35.638470077422426
RS12,11.043961750399422
RS21,8.57937600322634
RS22,10.314677178987044
SE11,2.6637729512989465
SE12,2.5116329600500356
NL33,4.7009371890924125
NL34,5.664943559240334
NL41,4.90119561463401
NL42,5.202981522463149
PL21,4.130162663161373
UKM6,1.0143859241820852
TR22,21.618806163156396
TRC2,39.042687410077534
TRC3,39.55846185085163
UKC1,3.4009678484002883
UKC2,2.5330322677299013
UKD1,1.1186670997806938
UKD3,2.2707310425274243
UKD4,1.5089118996560087
UKD6,2.7379740267956496
UKD7,2.3476922660537394
UKE1,6.110247352230187
UKE2,4.126213642742267
UKE3,6.109973617800793
RO41,9.87501837917818
RO42,8.064330291105875
RS11,10.905047407258111
TR41,22.69999964688684
TR42,12.777771307605946
TR51,28.389698854353973
TR52,31.69670419756369
TR61,26.57607801714313
TR62,28.077033654666273
TR63,30.568260096085204
TR71,30.096378177395344
TR72,27.708663148085105
TR81,11.275670585994597
UKK1,5.567275992756233
UKK2,4.590282297434997
UKK3,3.5690570370142813
UKK4,3.624369757259791
UKL1,2.251529535261343
UKL2,2.87445872248643
UKM5,1.831635195215465
UKM7,1.3152629743263038
UKM8,1.1465959408160715
UKM9,1.5263457007959393
UKN0,1.4555343518611477
SE21,3.0784602934691345
SE22,3.115508260604921
SE23,2.0941265772852136
SE31,1.7234851908839683
SE32,0.8495665140992752
SE33,0.6135919014824731
SI03,4.161480993760231
SI04,4.278787607978037
SK01,7.71954108705099
SK02,6.586428210781071
SK03,3.851812368277753
SK04,4.08819816110671
TR10,15.60690456381638
TR21,20.483783562657358
UKE4,4.192273188276541
UKF1,6.446159980581807
UKF2,7.568400579717833
UKF3,7.4371039289973675
UKG1,5.879406960554982
UKG2,4.156048445197712
UKG3,6.763439359259622
UKH1,7.567226500508276
UKH2,8.903479347402065
UKH3,8.289371201175127
UKI3,8.003730162016854
UKI4,8.012048981125359
UKI5,8.153879240036467
UKI6,7.616795063759987
UKI7,8.252862195277388
UKJ1,7.55331490079419
UKJ2,7.050253279260535
UKJ3,6.405028363589572
UKJ4,7.057987613968193
NO09,1.2693281423637373
NO0A,0.5518473734852807
NO0B,0.0
HR05,5.157475681846772
HR06,5.374103745044576
NO02,0.7112715075194989
NO06,0.7822170852804278
NO07,0.3806208237181346
NO08,1.5442261201866991
