nuts,April Fire Weather Index (-) (1981 - 2010)
ITF6,5.698986232924386
ITG1,9.8361063877731
LT01,4.211045863202647
LT02,4.366195905836812
LU00,4.20948243273045
PL22,5.339028638139624
PL41,6.550920556492094
PL42,5.215734655757662
PT18,14.416599935693057
PT20,0.0
PT30,8.564211265988467
RO11,4.71748196817351
RO12,3.217484813233448
RO21,5.5341961392103505
RO22,8.194510698028772
RO31,7.294499939995797
RO32,7.489878893064389
ITH3,3.7003769029865814
ITH4,2.893856853631135
ITH5,5.424603818709732
ITI1,4.496516595823036
ITI2,4.343344795392912
ITI3,3.9449040432050677
ITI4,3.9300592706331905
LI00,1.4490950629186277
FI1D,1.339590836303997
TR82,5.82851447720597
TR83,6.196204880443692
TR90,1.6548566313576736
TRA1,2.3551793838801425
TRA2,3.303399928262567
PL43,6.487936518060315
PL51,5.607928603485017
PL52,5.948498241394827
PL61,6.034537354509902
PL62,4.850630800144634
PL63,4.793435602578306
PL71,6.459245071139444
PL72,5.617100719361779
PL81,5.510890149992385
PL82,4.363577028597098
PL84,5.171891271235283
PL91,5.721097895121351
PL92,5.704119045829728
PT11,7.134784531464729
PT15,14.118563509000612
TRB1,5.744064561458621
TRB2,3.5118590423563987
TRC1,12.006762015112601
RS12,8.606002204022444
RS21,5.265151367833439
RS22,5.761434124712908
SE11,3.2064264987592956
SE12,4.139533368263086
NL33,4.541479478566471
NL34,4.788158558395053
NL41,5.520779881911978
NL42,5.240094953681261
PL21,4.201311925380772
UKM6,1.6938638709576797
TR22,7.788597271179702
TRC2,15.269361071445287
TRC3,9.947585004096682
UKC1,3.279322101052375
UKC2,2.8987364492985055
UKD1,2.091797962245231
UKD3,3.01636458453967
UKD4,2.5229715843647713
UKD6,3.163441223144597
UKD7,2.7624809670399095
UKE1,4.2877680961378255
UKE2,3.453855352076835
UKE3,4.591418961248708
RO41,6.787208690988214
RO42,5.438433538799729
RS11,7.4932033256883015
TR41,10.324725047008348
TR42,4.992247992144768
TR51,12.608003516807868
TR52,14.60018311217827
TR61,7.969341859379672
TR62,8.054722853253756
TR63,8.542201027107525
TR71,13.758402439772217
TR72,8.01223141655215
TR81,3.247183226885049
UKK1,4.68352218930709
UKK2,4.094827578966233
UKK3,3.5330008542460685
UKK4,3.4530694120561014
UKL1,2.7230267606349985
UKL2,3.11758193776118
UKM5,2.069798254659221
UKM7,2.197262733055954
UKM8,2.039110354097971
UKM9,2.1420778323283676
UKN0,2.231955357065812
SE21,4.366912718018477
SE22,4.2853330041668185
SE23,3.6577326094133182
SE31,3.2605923731615376
SE32,2.003055878210481
SE33,1.2019293940554596
SI03,4.217778580080095
SI04,3.1503017325779155
SK01,8.234441021676956
SK02,7.243128060647949
SK03,4.639216058508324
SK04,4.704816693814363
TR10,5.992471790135684
TR21,7.810341674939139
UKE4,3.8017779920818295
UKF1,4.504823786401555
UKF2,5.1082576728193425
UKF3,4.960671486705736
UKG1,4.442283699643955
UKG2,3.6320202012747824
UKG3,4.475418688171275
UKH1,4.9588007577865785
UKH2,5.571156856078868
UKH3,5.129850726166013
UKI3,5.718252202990915
UKI4,5.718252202990915
UKI5,5.577748364742334
UKI6,5.452847190898193
UKI7,5.5102578918711345
UKJ1,5.2021456133118935
UKJ2,4.797197068511748
UKJ3,4.873756824731517
UKJ4,4.494154288696473
NO09,2.3049184002220016
NO0A,0.9864659310632524
NO0B,0.5216180289979864
HR05,4.954997190565127
HR06,5.424396009003414
NO02,1.7125341686827986
NO06,1.0356493732519472
NO07,0.5286413068652295
NO08,2.457542736399619
