nuts,February Fire Weather Index (-) ensemble median - RCP8.5 - (2011 - 2040)
ITI2,2.380715961048048
ITI3,2.7217078301970385
ITI4,2.2103106063684077
LI00,0.5539208536273911
FI1D,0.10620524742863104
TR82,1.5591669912554182
TR83,2.1105811381120816
TR90,0.8539104077207919
TRA1,0.5456458324782962
TRA2,0.10370654454879524
PL43,0.9869506802746091
PL51,1.214413171376789
PL52,1.229888596876086
PL61,0.8441529126579134
PL62,0.4337097546559593
PL63,0.6298917775481665
PL71,0.9850672795308406
PL72,0.9850665144279793
PL81,0.710793547861414
PL82,0.818834350529596
PL84,0.5521071448176431
PL91,0.7117585492656751
PL92,0.7355766652740514
PT11,2.9509743597939195
PT15,9.795544132606702
TRB1,1.8734605468314052
TRB2,0.19420567980346726
TRC1,4.006200553574822
RS12,2.0798282560102206
RS21,1.4372079840556196
RS22,1.8171250160783234
