nuts,June Fire Weather Index (-) ensemble median - RCP8.5 - (2071 - 2100)
UKJ1,8.048779398538304
UKJ2,8.8213834149094
UKJ3,8.322030557451932
UKJ4,8.417625190493922
NO09,7.651883040891289
NO0A,10.359603106655404
NO0B,0.0
HR05,15.592511991497503
HR06,15.593438097095511
NO02,5.246473220326991
NO06,5.016401938552641
NO07,8.016564120330468
NO08,6.50290285968032
