nuts,December Fire Weather Index (-) (1981 - 2010)
ITH4,1.1172577524386316
ITH5,1.4827515134486149
ITI1,1.9859651275821575
ITI2,0.9719404297207892
ITI3,1.3197339726253703
ITI4,1.4525419958928436
LI00,0.20388610161775444
FI1D,0.12653163205597132
TR82,1.9405946621245422
TR83,2.3673657316266423
TR90,1.0831586776596935
TRA1,1.5494295177213775
TRA2,2.32404738989201
PL43,0.46124025560181453
PL51,0.48137524172825236
PL52,0.5623333960341352
PL61,0.4086772838432412
PL62,0.2608850359001794
PL63,0.36063904152396115
PL71,0.49082595210834484
PL72,0.5700813056677112
PL81,0.4438363651792563
PL82,0.5617286538310327
PL84,0.24190706015121693
PL91,0.3256478625116629
PL92,0.35159757636361055
PT11,1.9438907919511457
PT15,6.570947445518178
TRB1,3.0012490041423003
TRB2,2.6760623729105895
