nuts,April Extreme Precipitation Days (days) (1981 - 2010)
ES21,0.8359002731740475
ES22,0.7375520056734483
ES23,0.7350677744795878
ES24,0.573185404141744
ES30,0.5563720022638639
IE05,0.736060860256354
IE06,0.7476824479798476
IS00,0.8482519532243411
ITC3,0.6933865221838157
FI19,0.4744909047459563
FI1B,0.4617342732846737
FI1C,0.468434140086174
DEA1,0.6595309294760228
DEA2,0.7168096954623858
DEA3,0.6586524999390045
DEA4,0.6915942922234535
DEA5,0.7258970315257708
DEB1,0.6873551627000173
DEB2,0.7183955147862434
DEB3,0.6626232581833998
DEC0,0.6845861829817295
DED2,0.6368580852945646
DED4,0.6855319868773222
DED5,0.60010243182381
DEE0,0.5939966313540935
DEF0,0.5759052460392317
DEG0,0.6667836459974448
DK01,0.4837270125746727
DK02,0.4813981226955851
DK03,0.538843724069496
DK04,0.5407829957082868
ES41,0.6726177382593354
ES42,0.5289298175523679
HU23,0.5480584017932415
HU31,0.5526662454629938
HU32,0.560147789058586
HU33,0.54213653691113
IE04,0.821884623542428
EE00,0.5086040960469593
EL30,0.2648525726050138
EL41,0.31253311038017273
EL43,0.2598802946507931
EL51,0.5271527047579487
EL52,0.5219745333616932
FI20,0.3960388926168283
FR10,0.6368579479555289
FRB0,0.6539918940514327
FRC1,0.6997403472351531
FRC2,0.7735176940759023
FRD1,0.6710761647671462
FRD2,0.6710026301443577
FRE1,0.6722749071816604
FRE2,0.6714456276968122
FRF1,0.7392774707327286
NL13,0.6083613480130832
NL21,0.621643369893233
NL22,0.637684341520071
NL23,0.6206294847031434
NL31,0.6458450128634771
NL32,0.5725103192031383
ITG2,0.5038883613422513
ITH1,0.815741432706515
ITH2,0.8296058672169845
FRI3,0.6603125366692741
FRJ1,0.6305960584431887
FRJ2,0.762306604348123
FRK1,0.7700326450479528
FRK2,0.7405834513405959
FRL0,0.6042492607297997
FRM0,0.5440787028521299
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,0.41901162018378574
TR32,0.45229851196830473
TR33,0.5441574236998955
HR03,0.6485172510767977
HR02,0.6344938005631169
HU11,0.5083135813474655
HU12,0.5277194606761137
HU21,0.5370036030188203
HU22,0.538278729096055
PT16,0.6033566399166982
PT17,0.48605841100215913
FRF2,0.6905816237131754
FRF3,0.7042845509946346
FRG0,0.6339517578482627
FRH0,0.6612927614400784
FRI1,0.7415749656657378
FRI2,0.7652525484561921
ITC4,0.7127953088531892
ITF1,0.6709046401083469
ITF2,0.615907899911205
ITF3,0.6464561418940623
ITF4,0.4623131852907439
ITF5,0.5760155536234379
ITF6,0.5710006738081574
ITG1,0.42206854031731683
LT01,0.5833907796690861
LT02,0.5621492409302543
LU00,0.7177447468042374
PL22,0.6520324239507318
PL41,0.5474346828957398
PL42,0.5648259059836467
PT18,0.47680049895619353
PT20,0.0
PT30,0.3767813637852669
RO11,0.7356918921073278
RO12,0.7930668129275242
RO21,0.6594464064575731
RO22,0.515175523267438
RO31,0.5886585981274645
RO32,0.5266523679097493
ITH3,0.7334333651388685
ITH4,0.786824244260788
ITH5,0.6585849545275172
ITI1,0.642756607880195
ITI2,0.7101412144800027
ITI3,0.6378954020018379
ITI4,0.6764958103497823
LI00,0.8833724985520045
FI1D,0.4805233096393446
TR82,0.7443237701120476
TR83,0.7431623804072539
TR90,0.8563005644828081
TRA1,0.8464762629941106
TRA2,0.9156846030304829
PL43,0.5624127557501197
PL51,0.6060103438794613
PL52,0.5992713499193391
PL61,0.5553892557198803
PL62,0.5779299818600218
PL63,0.5768741515775522
PL71,0.5752626475567619
PL72,0.6123310143748919
PL81,0.5849279297826191
PL82,0.67479159279416
PL84,0.575664225841562
PL91,0.5742614783346653
PL92,0.5721453856676817
PT11,0.6837518696983655
PT15,0.4082325153052807
TRB1,0.772739277780056
TRB2,0.8358986837789416
TRC1,0.5472752323995034
RS12,0.5862820682426294
RS21,0.7270788309474786
RS22,0.6737031916777293
SE11,0.4432200017074744
SE12,0.49083457986513773
NL33,0.6200521007180214
NL34,0.6389903930326303
NL41,0.6565749833981196
NL42,0.6643105179071427
PL21,0.6930851831411322
UKM6,0.8480495157341162
TR22,0.4529369598875443
TRC2,0.550756991126885
TRC3,0.6768612045173844
UKC1,0.715578380227089
UKC2,0.7267972208559513
UKD1,0.7755838094900052
UKD3,0.7665879800915718
UKD4,0.7624549542864164
UKD6,0.7363251214226086
UKD7,0.7370733166734378
UKE1,0.6706053989628951
UKE2,0.7161171784003576
UKE3,0.709251751502355
RO41,0.6352360654622317
RO42,0.7216214794976016
RS11,0.6154982964197795
TR41,0.5653479835018516
TR42,0.6543128902092576
TR51,0.601242697207878
TR52,0.5363369038328528
TR61,0.5513237892960509
TR62,0.5985661129156749
TR63,0.6091659164677063
TR71,0.6174855913966895
TR72,0.7666307352638493
TR81,0.7084800558785598
UKK1,0.6641443894555171
UKK2,0.6425277799367904
UKK3,0.6877040899048249
UKK4,0.6704240498443444
UKL1,0.7495780882736047
UKL2,0.7415548318997025
UKM5,0.7567921674499909
UKM7,0.7800815310329199
UKM8,0.8046915570894877
UKM9,0.7728179226318995
UKN0,0.7895689101889729
SE21,0.4873997934317837
SE22,0.49811381672819455
SE23,0.5449401091784238
SE31,0.5018288361529509
SE32,0.5417160854053994
SE33,0.5153625431586988
SI03,0.6817629454036553
SI04,0.7426227216919263
SK01,0.5181696345408757
SK02,0.5619258665169279
SK03,0.6686312401046356
SK04,0.660155534868439
TR10,0.43001710772514345
TR21,0.4493497394025326
UKE4,0.7282661875089009
UKF1,0.7048719973613818
UKF2,0.6683139552672704
UKF3,0.6549756863464912
UKG1,0.6844500790039698
UKG2,0.7225096346189578
UKG3,0.699936821560065
UKH1,0.6287652493764957
UKH2,0.6555680605272453
UKH3,0.6374682332078616
UKI3,0.6333333333333333
UKI4,0.6333333333333333
UKI5,0.6466226090987524
UKI6,0.6444747825463613
UKI7,0.6444036652644475
UKJ1,0.6653193011879921
UKJ2,0.6039522279053926
UKJ3,0.6220064230263234
UKJ4,0.6195972287406524
NO09,0.6191804924048483
NO0A,0.7841489690821618
NO0B,0.7443506233394146
HR05,0.605584583679835
HR06,0.5865826356535156
NO02,0.6090890683233738
NO06,0.7604576868781199
NO07,0.7391252922515075
NO08,0.5734441739817461
