nuts,December Extreme Precipitation Days (days) ensemble median - RCP8.5 - (2011 - 2040)
ITH2,0.5276197818418343
FRI3,0.7759671325484911
FRJ1,0.520271701614062
FRJ2,0.7376195602739851
FRK1,0.8150068918863932
FRK2,0.897569215297699
FRL0,0.5277150482560198
FRM0,0.5357371697823207
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,0.6592746676256259
TR32,0.5108391399805744
TR33,0.49471790657068293
HR03,0.6733854368329049
HR02,0.5566499521334966
HU11,0.6002765436967213
HU12,0.6653250283251206
HU21,0.6096190774192413
HU22,0.5680945198982954
PT16,0.5679563752065102
PT17,0.5944040370484193
FRF2,0.8746839232432345
FRF3,0.9470267591066659
FRG0,0.734907183671991
FRH0,0.8890333188076814
FRI1,0.7511041261255741
FRI2,0.8992769848555326
ITC4,0.5222062047570943
ITF1,0.5393595916529497
ITF2,0.5391749267776808
ITF3,0.6345003022501866
ITF4,0.4984760037312905
ITF5,0.43454728871583936
ITF6,0.5860890413324038
ITG1,0.43839251017197967
LT01,1.1259697191417217
LT02,0.922732197617491
LU00,0.9947330728173256
PL22,0.6879395889118314
PL41,0.743036013096571
PL42,0.8271468030288815
PT18,0.44478112055609625
PT20,0.0
PT30,0.0
RO11,0.7447737264136474
RO12,0.6352635594705741
RO21,0.5463737094464401
RO22,0.39600550091514986
RO31,0.4545172988747557
RO32,0.42024293144543967
ITH3,0.44723640761027733
ITH4,0.4626741404334704
ITH5,0.5181205303718647
ITI1,0.47664362381522857
ITI2,0.4681449420750141
ITI3,0.4972799211740494
ITI4,0.5169585460796953
LI00,1.0501174916823706
FI1D,0.7473119641343753
TR82,0.7990409066279729
TR83,0.6487334117293357
TR90,0.6696015432476997
TRA1,0.6841221384393672
TRA2,0.583269547422727
PL43,0.6744888673226038
PL51,0.7024175032352408
PL52,0.559203986885647
PL61,0.8609925003101428
PL62,0.6906876884400844
PL63,0.777355940764149
PL71,0.5846551169951757
PL72,0.7923109821975232
PL81,0.8686594462022186
PL82,0.9295198460419972
PL84,0.6979771537706256
PL91,0.8956070552269618
PL92,0.7817337117468317
PT11,0.6590538030490279
PT15,0.3380507960915565
